k,TransformedBankingData sse (left)
2,88443.50507685385
3,77978.3398353289
4,70363.32595010508
5,65157.8866226552
6,60811.56713646407
7,56620.828048667725
8,53212.79231578736
9,50158.589783381176
10,47900.37312800171
15,38784.87777463028
20,34898.32029696785
25,31668.70444901711
30,29696.108638985577
35,27653.412217065317
40,26028.227820948036
