k,TransformedAdultIncomeData sse (left)
2,223263.9014539931
3,208741.30379227246
4,194427.60940120433
5,183510.4060096186
6,174686.1390859414
7,162581.20767225313
8,157017.23915287873
9,150105.6375795619
10,141099.18902328823
15,115338.0698455851
20,92495.66253452297
25,77303.3749544466
30,64618.64618452414
35,56491.44359896846
40,50955.56644639866
