k,GMM,Kmeans
2,-0.0002833563791798007,0.016746230536022443
3,0.0010903784258479146,0.023815979659769348
4,-0.0002254191147296537,0.012494315377841222
5,0.0033988526640811993,0.020931229562545648
6,0.0036252535205010677,0.023727264463090397
7,0.009074200148734612,0.014908272295811686
8,0.011018555285425346,0.01437442649550351
9,0.009565091964922225,0.014950094773926817
10,0.005074264239348338,0.017620922263106433
15,0.00940709021891367,0.01900842449384463
20,0.008271471202233057,0.022337602322718825
25,0.01103003835112461,0.026549927591991047
30,0.013608250370300324,0.02335834110284179
35,0.017216523383300215,0.025955108196261057
40,0.00941880580860507,0.023530355383578297
