k,GMM,Kmeans
2,0.3387759229581047,0.2595328301152286
3,0.20661185758831005,0.13229973223824995
4,0.24929906251057238,0.13018989595572197
5,0.050581409135557164,0.14551225078065572
6,0.013982095879618031,0.13659957894618402
7,-0.0004803301410747547,0.1564191177952597
8,0.02382273429087349,0.15749633309806524
9,0.014872837660353288,0.1749712934789746
10,-0.004510324779745528,0.1637863295038101
15,0.023337906633080833,0.18298286563718516
20,0.08965209703089169,0.17530240704283684
25,0.08622025175968154,0.20969555119959382
30,0.02150582073096702,0.22126254981643895
35,0.10821398835206114,0.2300732443971821
40,0.0552285932854666,0.2345981891195479
