k,TransformedAdultIncomeData log-likelihood
2,-18.57873493420222
3,-11.913974781455892
4,-11.98244181267517
5,-7.525467660084359
6,-7.8826757729968335
7,-5.5312988152511355
8,-3.707718597331847
9,-3.581125921116708
10,-3.6237750800802333
15,-1.0638132892933356
20,-0.19942213307001896
25,0.9959135885787437
30,3.110305010949815
35,5.732449923145233
40,6.597628613412989
