k,TransformedBankingData BIC
2,80157.09417355822
3,78756.99978471977
4,78292.44802277892
5,78100.28840924274
6,73844.92247350111
7,55412.58532454827
8,54890.238029606284
9,56350.45276528697
10,58860.16498326465
15,45150.138146930956
20,43279.62801518645
25,40073.96103039742
30,33537.769980216755
35,25940.990777150037
40,28584.124044612887
