k,TransformedBankingData log-likelihood
2,-16.223476613615652
3,-15.865932929172759
4,-15.699394272679559
5,-15.5884685497112
6,-14.647978448995707
7,-10.813047512589891
8,-10.634709033107484
9,-10.861140261796304
10,-11.301842107532284
15,-8.14426764363928
20,-7.403907696812261
25,-6.390955497424088
30,-4.6980269678212085
35,-2.788563494795288
40,-2.9697313959077047
