k,TransformedAdultIncomeData BIC
2,91693.14942779121
3,59400.30877720255
4,60086.81487367742
5,38607.710051850474
6,40708.46996645862
7,29542.58020498304
8,20961.838875177215
9,20692.94252463831
10,21252.992682804506
15,10470.07271934452
20,7992.057723976952
25,3893.07624715555
30,-4707.440051803722
35,-15794.932943922639
40,-18276.805281039873
