,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.35100831985473635,0.031754577594977615,0.0029563426971435545,0.00042265225910486086,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.0,0.0,0.047746048266441105,0.17350878575368353,0.077323388744917,0.05961810981302792,0.06407750731531824,117,0.0,0.0,0.06675392670157068,0.1511056511056511,0.1678832116788321,0.07714855789721078,0.07171370491286105
1,0.45498313903808596,0.06323926933477558,0.0033960342407226562,0.0012172735267825343,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.18839837750561156,0.03182977987285383,0.016260162601625994,0.07792428392466601,0.19813358013265442,0.10252165794571307,0.07689227155635728,56,0.10318668196398816,0.02388899504413105,0.00407055630936228,0.1111111111111111,0.22589845978322876,0.09363116084236427,0.078455804869953
2,0.4503751754760742,0.02428569486762534,0.003212165832519531,0.0008720378524236329,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.24825725208005375,0.0,0.28817233668470355,0.0,0.0,0.10731342728057428,0.13199201531240282,51,0.16433911957190417,0.0,0.31266284523189164,0.0040650406504065045,0.05131578947368421,0.10647655898557731,0.11893607337382697
3,0.5240059852600097,0.038902764243691226,0.00288238525390625,9.06549582454177e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.0,0.0,0.25450298373998553,0.0,0.1432195121951218,0.07941457758769599,0.10354798535671098,82,0.004081632653061195,0.0,0.2508474576271187,0.0,0.20150550086855823,0.09128691822974763,0.11124663267170742
4,0.5162735939025879,0.09225421741693475,0.0033530235290527345,0.0005747364099867828,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,0.004076094496578716,0.0,0.0,0.0,0.008124576844955992,0.002440134268306942,0.0032512157423894555
5,0.6021364688873291,0.0912591241423064,0.003334712982177734,0.00059445489876255,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.01608567369686371,0.015999652181474297,0.0,0.0,0.0,0.006432786854333998,0.007862507636455938,252,0.012129469077697875,0.051519525190530435,0.0,0.0,0.0359520639147803,0.019920211636601723,0.02054196795568508
6,0.6925586223602295,0.0930453357249278,0.004166173934936524,0.0009938555314287537,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.04614998745924248,0.015999652181474297,0.0,0.23667988088238062,0.04762007742047095,0.06922750211257099,0.08557950670726033,99,0.0730792191198336,0.05905575120201931,0.016107382550335572,0.23156682027649775,0.05058365758754864,0.08607856614724697,0.07512909251134958
7,0.857694149017334,0.11397067922509677,0.0031710147857666017,0.00014716645538246333,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.07652636832473789,0.10605623944995664,0.03225806451612898,0.047494769536052396,0.4032445708376419,0.13304768942772505,0.1373093045243169,31,0.09548298530900934,0.15251381016108684,0.04768211920529802,0.06258148631029987,0.394578313253012,0.15056774284774121,0.12720558875486682
8,0.8532974243164062,0.2141000501708191,0.0037077903747558595,0.0005857041805243822,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.0,0.12029583622767936,0.16256921373200425,0.18398472899755108,0.18617446783602895,0.13048977066327533,0.06950343243511133,34,0.00814112013832694,0.08456324385001074,0.13525360050093926,0.2147806004618938,0.2391681109185442,0.13638133517394296,0.08466818197173075
9,0.7800196647644043,0.18931897592404784,0.0043509483337402345,0.0007250053225004175,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.28212863118947984,0.0,0.14779317010309262,0.09278611157930208,0.0,0.10460123587453067,0.10534403391254128,55,0.31826566907370424,0.0,0.14048059149722733,0.03937007874015748,0.0040650406504065045,0.10043627599229912,0.12013087253311093
10,0.9119079113006592,0.11977152186729995,0.003916025161743164,0.00042342930226194726,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.1182163149758065,0.1459738199127329,0.13433655312658857,0.09326556543837344,0.11941269776711255,0.12225708510275922,0.017737628658680258,39,0.07687607853501041,0.13620223474606544,0.14507129572225666,0.07045009784735813,0.13644744929317762,0.11300943122877365,0.032348496148476055
11,1.1072478294372559,0.19387878216860094,0.0043238639831542965,0.0006315106208055011,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.07691986120981555,0.10686801219689256,0.5373278636445243,0.031747404844290616,0.28191012674433463,0.20676672278958916,0.18558930457388265,11,0.05890136327185204,0.1252388093826406,0.5468615649183144,0.04313725490196078,0.30676195711929644,0.21618018991881285,0.19000318401818414
