step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.06666666666666667,0.013333333333333332,0.0,0.026666666666666665,0.06666666666666667,0.0
5,0.0,0.011111111111111112,0.0,0.024845199749997663,0.06666666666666667,0.0
6,0.0,0.009523809523809523,0.0,0.023328473740792173,0.06666666666666667,0.0
7,0.0,0.008333333333333333,0.0,0.022047927592204922,0.06666666666666667,0.0
8,0.0,0.007407407407407408,0.0,0.020951312035156964,0.06666666666666667,0.0
9,0.0,0.006666666666666666,0.0,0.019999999999999997,0.06666666666666667,0.0
10,0.0,0.006060606060606061,0.0,0.019165319152535637,0.06666666666666667,0.0
11,0.0,0.005555555555555556,0.0,0.01842569327975222,0.06666666666666667,0.0
12,0.0,0.005128205128205128,0.0,0.017764623667373105,0.06666666666666667,0.0
13,0.0,0.0047619047619047615,0.0,0.017169291787923754,0.06666666666666667,0.0
14,0.0,0.0044444444444444444,0.0,0.01662958838566196,0.06666666666666667,0.0
15,0.0,0.004166666666666667,0.0,0.01613743060919757,0.06666666666666667,0.0
16,0.0,0.00392156862745098,0.0,0.015686274509803918,0.06666666666666667,0.0
17,0.0,0.003703703703703704,0.0,0.015270761576361702,0.06666666666666667,0.0
18,0.0,0.0035087719298245615,0.0,0.014886458551295735,0.06666666666666667,0.0
19,0.0,0.003333333333333333,0.0,0.014529663145135579,0.06666666666666667,0.0
20,0.0,0.0031746031746031746,0.0,0.014197256999998662,0.06666666666666667,0.0
21,0.0,0.0030303030303030303,0.0,0.013886593015017693,0.06666666666666667,0.0
22,0.047619047619047616,0.004968944099378882,0.0,0.01634431002566505,0.06666666666666667,0.0
23,0.0,0.0047619047619047615,0.0,0.016030960219622345,0.06666666666666667,0.0
24,0.0,0.004571428571428571,0.0,0.015734762992810195,0.06666666666666667,0.0
25,0.0,0.004395604395604396,0.0,0.015454229384416839,0.06666666666666667,0.0
26,0.0,0.004232804232804233,0.0,0.015188042427944257,0.06666666666666667,0.0
27,0.0,0.004081632653061224,0.0,0.014935032925238198,0.06666666666666667,0.0
28,0.0,0.003940886699507389,0.0,0.014694159160063771,0.06666666666666667,0.0
29,0.0,0.0038095238095238095,0.0,0.014464489841135896,0.06666666666666667,0.0
30,0.0,0.003686635944700461,0.0,0.014245189701222277,0.06666666666666667,0.0
31,0.0,0.0035714285714285713,0.0,0.0140355072887519,0.06666666666666667,0.0
32,0.0,0.003463203463203463,0.0,0.013834764576285002,0.06666666666666667,0.0
33,0.0,0.003361344537815126,0.0,0.013642348080544448,0.06666666666666667,0.0
34,0.0,0.0032653061224489793,0.0,0.01345770124503754,0.06666666666666667,0.0
35,0.0,0.0031746031746031746,0.0,0.01328031788149326,0.06666666666666667,0.0
36,0.0,0.003088803088803089,0.0,0.01310973650269945,0.06666666666666667,0.0
37,0.03571428571428571,0.003947368421052632,0.0,0.013950498087234343,0.06666666666666667,0.0
38,0.0,0.003846153846153846,0.0,0.013784611698769373,0.06666666666666667,0.0
39,0.0,0.00375,0.0,0.013624452598793834,0.06666666666666667,0.0
40,0.0,0.0036585365853658534,0.0,0.013469702096101278,0.06666666666666667,0.0
41,0.0,0.0035714285714285713,0.0,0.013320065475097296,0.06666666666666667,0.0
42,0.0,0.0034883720930232558,0.0,0.013175269760900723,0.06666666666666667,0.0
43,0.0,0.003409090909090909,0.0,0.013035061729033638,0.06666666666666667,0.0
44,0.0,0.003333333333333333,0.0,0.012899206129466696,0.06666666666666667,0.0
45,0.0,0.003260869565217391,0.0,0.012767484098872786,0.06666666666666667,0.0
46,0.0,0.0031914893617021275,0.0,0.01263969173844406,0.06666666666666667,0.0
47,0.0,0.0031249999999999997,0.0,0.012515638837629637,0.06666666666666667,0.0
48,0.0,0.003061224489795918,0.0,0.012395147726726936,0.06666666666666667,0.0
49,0.0,0.003,0.0,0.012278052243471846,0.06666666666666667,0.0
50,0.0,0.0029411764705882353,0.0,0.012164196800674851,0.06666666666666667,0.0
51,0.0,0.0028846153846153843,0.0,0.012053435543588401,0.06666666666666667,0.0
52,0.0,0.002830188679245283,0.0,0.011945631587103305,0.06666666666666667,0.0
53,0.0,0.002777777777777778,0.0,0.011840656324092395,0.06666666666666667,0.0
54,0.0,0.002727272727272727,0.0,0.011738388797275604,0.06666666666666667,0.0
55,0.0,0.0026785714285714286,0.0,0.011638715127895874,0.06666666666666667,0.0
56,0.0,0.002631578947368421,0.0,0.011541527995290273,0.06666666666666667,0.0
57,0.0,0.002586206896551724,0.0,0.011446726162131915,0.06666666666666667,0.0
58,0.0,0.002542372881355932,0.0,0.011354214040720971,0.06666666666666667,0.0
59,0.0,0.0025,0.0,0.011263901296228883,0.06666666666666667,0.0
60,0.0,0.0024590163934426227,0.0,0.011175702483259881,0.06666666666666667,0.0
