steps,time,reward,delta,converged
1,0.005345999999974538,0.6666666666666666,0.3333333333333333,False
2,0.005547000000007074,1.2948148148148146,0.17777777777777776,False
3,0.005383999999992284,1.855697119341564,0.0916543209876543,False
4,0.005382999999994809,2.345449115683585,0.05562469135802468,False
5,0.0058760000000006585,2.7644920864827514,0.03560729401005944,False
6,0.005521000000015874,3.1174521548170495,0.02408080914494741,False
7,0.00633600000000456,3.410699619411639,0.015824549481549238,False
8,0.005900999999994383,3.651544707242814,0.011000433374876238,False
9,0.005720999999994092,3.847383947113994,0.007477588322668968,False
10,0.005573999999995749,4.005258081300925,0.005232056975872673,False
11,0.0055299999999931515,4.131568464618748,0.003639236018500927,False
12,0.006437000000005355,4.231956707084477,0.0025485937242472126,False
13,0.005687999999992144,4.311274996953206,0.001795019888596129,False
14,0.005603000000007796,4.373618738611926,0.0012600034524801792,False
15,0.0053920000000005075,4.4223919536158345,0.0008949914103452208,False
16,0.005774999999999864,4.460388619453706,0.0006293537584131717,False
17,0.005594000000002097,4.48987785560663,0.0004498438894728939,False
18,0.005831000000000586,4.51268603471391,0.0003186078848154668,False
19,0.005793000000011261,4.530271840040177,0.00022746718659410418,False
20,0.005452000000019552,4.543792486407243,0.0001619483541624219,False
21,0.005859999999984211,4.554160632572283,0.00011555345340540438,False
22,0.005445000000008804,4.562092328465327,8.260487730689121e-05,False
23,0.005681999999978871,4.568146771803058,5.8916158368174047e-05,False
24,0.006060000000019272,4.572758847332692,4.225727752016849e-05,False
25,0.00523300000000404,4.576265472817754,3.012837448101459e-05,False
26,0.006359000000003334,4.578926744020955,2.1670086846188065e-05,False
27,0.005266000000005988,4.58094279016458,1.5489311848613596e-05,False
28,0.006192999999996118,4.582467142983113,1.1135767485294943e-05,False
29,0.00532200000000671,4.583617293910836,7.976879764513687e-06,True
