params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.2619829999999865,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.300674999999984,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.51054400000001,100,5.305568627450981,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.3}",1.5478950000000111,100,5.337254901960786,5.337254901960785,4.9411764705882355,5.733333333333333,0.396078431372549
"{""discount_factor"": 0.4}",1.615458000000018,100,5.329333333333334,4.9411764705882355,4.9411764705882355,5.733333333333333,0.39599920776312103
"{""discount_factor"": 0.5}",1.5864070000000083,100,5.2105098039215685,4.9411764705882355,4.9411764705882355,5.733333333333333,0.37525165412236167
"{""discount_factor"": 0.6}",1.5941640000000064,100,5.37686274509804,5.733333333333333,4.9411764705882355,5.733333333333333,0.39409306332458266
"{""discount_factor"": 0.7}",1.6218560000000082,100,5.368941176470589,5.733333333333333,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.8}",1.6990059999999971,100,5.305568627450981,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3948089459551649
"{""discount_factor"": 0.9}",1.9933039999999949,100,5.250117647058824,4.9411764705882355,4.9411764705882355,5.733333333333333,0.3863744590506594
