k,TransformedAdultIncomeData log-likelihood
2,41.10661063772721
3,42.9301777653358
4,43.64398924669946
5,44.230500042509576
6,44.687276933713186
7,45.174071103350805
8,45.584386907755125
9,45.73801927816991
10,46.208057971883754
15,48.174851566904664
20,48.6474875097504
25,49.51392015736418
30,49.91162091022026
35,50.38664679222684
40,50.38523137169402
