k,TransformedAdultIncomeData BIC
2,-199475.1579249763
3,-207470.5775091689
4,-210030.41393805388
5,-211966.73160909754
6,-213267.61261537857
7,-214715.51825142937
8,-215788.83285456747
9,-215604.91199802482
10,-216970.749313001
15,-221922.04330724207
20,-219554.9531211292
25,-219116.67919497023
30,-216382.55644828797
35,-214027.17218418492
40,-209338.17842024384
