k,TransformedBankingData log-likelihood
2,28.611918256891617
3,28.943573434845
4,29.49389805927178
5,29.96512825461109
6,30.316555845044444
7,30.463938768832094
8,30.379871165071705
9,30.97347198692246
10,31.27315142727761
15,31.699639006438645
20,32.55553740936655
25,32.97079508128539
30,33.28601947420807
35,33.521880130629164
40,33.857019038860685
