k,TransformedAdultIncomeData sse (left)
2,9.049150964381418
3,8.575558943236496
4,8.052247372362306
5,7.699455375285652
6,7.26680275866973
7,6.858125035706558
8,6.520146722259424
9,6.161037106834769
10,5.82550675639502
15,4.803625067027353
20,4.328704254686116
25,4.014066292757097
30,3.7561969819538317
35,3.5450060625575626
40,3.4069420745487635
