k,TransformedBankingData sse (left)
2,6.426636784266865
3,5.872239590595125
4,5.357903406114301
5,4.938929791026354
6,4.516839986415491
7,4.188105182319605
8,3.9584864321034123
9,3.696158831141817
10,3.5335242405100127
15,2.928258742137581
20,2.6699800877876507
25,2.4650471125374445
30,2.289590282994369
35,2.1536342685293492
40,2.0202120689015834
