k,GMM,Kmeans
2,0.15292019325142098,0.08699086438440093
3,0.046525311891867205,0.09768809557626838
4,0.041531880380946434,0.09336872736598405
5,0.04131634559522374,0.09464491169459577
6,0.04573139187206891,0.10640506271595843
7,0.048429083327156244,0.1182133880126456
8,0.027964491241543682,0.12504567325293006
9,0.003462946627001931,0.13210309367052409
10,0.0453462727637566,0.14118332636960926
15,0.059924117164677985,0.14566452122850077
20,0.0730008748262784,0.14857407664312086
25,0.07938732130303412,0.15331920255933648
30,0.08935795817101622,0.16162721086391685
35,0.10011588495661469,0.16463216712395515
40,0.10920128981833113,0.16769574632723588
