k,TransformedBankingData BIC
2,-139118.9256297944
3,-140228.34597765125
4,-142408.80927433475
5,-144201.86805734786
6,-145408.1336815316
7,-145614.98852848465
8,-144688.19869150742
9,-147080.62880317355
10,-148033.43198827427
15,-147547.23458221077
20,-149164.29139095746
25,-148623.08989922173
30,-147591.92540696278
35,-146172.03733331908
40,-145238.41413704288
