k,GMM,Kmeans
2,0.0015593867431995408,0.14975820660322253
3,0.0951028268547693,0.10739713220021922
4,0.06499554134205751,0.03701967345886371
5,0.055290848021254946,0.08486022322185992
6,0.042899901530035554,0.03630652131395168
7,0.05662614780052488,0.06392510174301919
8,0.032993776475841716,0.061443330136805745
9,0.04485800352795357,0.061909164051412474
10,0.037077989034028695,0.053195024770528246
15,0.04833108751383831,0.03776182590461101
20,0.043411824140338194,0.045422968957258204
25,0.042009787398820546,0.04273858717288395
30,0.039910477837768625,0.0402216324664727
35,0.036052201309631264,0.037819932514162304
40,0.03656046706419216,0.041341492831820044
