,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.5843995571136475,0.5469744245874041,0.009168481826782227,0.0006978875269024914,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5987258838007361,0.6174010202076485,0.6426075413596257,0.6249541663029083,0.62891900834259,0.6225209146604463,0.014441783303096945,380,0.5982356365065152,0.6004691735201256,0.633816527829733,0.636743030018881,0.6509124337403772,0.6240353603231263,0.02097867532430171
1,2.2387552738189695,0.6754026892541568,0.01088700294494629,0.0002517658923273215,0.1,"(50, 50)",34,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 34}",0.703779572736157,0.747414470090751,0.7134681210080405,0.7069043376151338,0.6954369916138989,0.7134024096049859,0.017968888716051803,154,0.7225956608326405,0.7307718133219245,0.7256258320008293,0.7541331041435024,0.7534581271815987,0.7373169074960991,0.01370808556969937
2,2.263852262496948,0.466938398508981,0.012639856338500977,0.0006532406732067178,0.1,"(50, 50)",67,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 67}",0.7234491409597694,0.7054379824749918,0.7219277087208464,0.7017444091971062,0.7086005361751471,0.7122323013879733,0.008822670452943635,173,0.7546620870066273,0.7253991529831968,0.75964170081653,0.7392846790757628,0.7542782301364989,0.7466531700037231,0.01262548315374382
3,2.2524667739868165,0.4741012132955866,0.014349555969238282,0.0018886414423074705,0.1,"(50, 50)",100,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 100}",0.7295070852261177,0.7464242754100457,0.7252524750085227,0.7305043310735378,0.7098942600986612,0.7283182400281324,0.011685599698971942,28,0.7622099926505,0.766223670475534,0.7310823136243192,0.7661427040281179,0.7673690827618318,0.7586055527080605,0.013872018629625102
4,2.3947432041168213,1.4235183021477844,0.009665250778198242,0.0008425972048872232,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.6886844969548936,0.7057355128944853,0.6781372095857691,0.6611548074832594,0.6911853450917032,0.6849788833104239,0.014816009503184433,341,0.6738220253600756,0.6890215726731781,0.6785917647056281,0.690018114937176,0.7113772760502556,0.6885661507452627,0.012957937004545799
5,3.1576082706451416,0.8583386898891643,0.01441330909729004,0.0008349865972756419,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 40}",0.6908045548789634,0.7402155515370714,0.736228515277068,0.6677039076057695,0.7056519103682851,0.7081211230965485,0.02742241737382847,207,0.7161630023021283,0.7487260605916993,0.7687923472963547,0.7185377391848555,0.747445965468365,0.7399330229686806,0.0199469018495204
6,3.148892545700073,0.8929148490214567,0.017606830596923827,0.0004653210613564704,0.1,"(50, 50)",72,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 72}",0.7392341327679877,0.7365999630313704,0.7223107223328277,0.6837745808802306,0.7275362209081859,0.7218905863046343,0.020011094179704206,71,0.752509961649033,0.7472565730613256,0.7601492155270387,0.7236541421337755,0.7861391466191254,0.7539418077980597,0.02019547363219526
7,2.861413764953613,1.0596646086667907,0.011186361312866211,0.00040423921763916643,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.6664968101094885,0.7202966095779451,0.6954985778132864,0.6764084517714962,0.7008058825645462,0.691900418227892,0.01888954317717814,320,0.6701508615380151,0.6986727570799651,0.7210859345705286,0.7109897080721356,0.7268204595217778,0.7055439441564845,0.020118565683582598
8,3.383880281448364,0.870673454498516,0.015649032592773438,0.000556186311682319,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 45}",0.7278845288256875,0.7320527245367118,0.741809913089176,0.7331639926722375,0.7219661051499194,0.7313763490684531,0.006530483153094501,14,0.7480103675512525,0.7196153679139007,0.7722601288095439,0.7740782894288849,0.7808251455829089,0.7589578598572981,0.02258953383680115
9,2.6014054298400877,0.5744429390018242,0.01833796501159668,0.001244965661227623,0.1,"(50, 50)",78,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 78}",0.6959997313001725,0.7259163934233578,0.6882871171410361,0.7262705451640049,0.7156863067284935,0.7104315182953717,0.01560142729161706,192,0.7339297577182466,0.712535742974812,0.6953327893915974,0.7644716221340169,0.75836074558937,0.7329261315616086,0.02635174435929997
10,2.761530351638794,1.406510564240217,0.010874319076538085,0.0013008672057081795,0.1,"(50, 50)",18,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 18}",0.7205101299539921,0.7011271538744375,0.7054417947539543,0.6640497636870516,0.680365627448097,0.6943002210476589,0.019834610892706966,313,0.7271164790242677,0.6750822123403154,0.738992055251017,0.6934062473899523,0.7146068328566496,0.7098407653724406,0.023018313462252353
