,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.0738664150238035,0.5839568444936178,0.01164402961730957,0.0007130329657415665,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5596057863124962,0.5640842435905663,0.5829044391066086,0.6096490429271326,0.6559902564726573,0.5944408918376414,0.03545844697369179,200,0.5576315473284498,0.5578189811606283,0.581054799330908,0.6295568530437008,0.6435137324597815,0.5939151826646937,0.03609756840816049
1,2.3303733825683595,0.9419879262070155,0.012031364440917968,0.0004769149096995617,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.0,0.6348878385148455,0.0,0.5170554674372648,0.6425034885881717,0.3588623454658543,0.2963900544983064,216,0.0,0.61976697007101,0.0,0.5469888730213662,0.6336600905703623,0.3600831867325477,0.29547708132594314
2,1.8677234172821044,0.6768947164471988,0.011854839324951173,0.0010281125035372506,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.0,0.0,0.6000697381390059,0.6049079715390074,0.0,0.2410184960780863,0.2951667042851649,221,0.0,0.0,0.594700207165593,0.6308120120168001,0.0,0.24510244383647867,0.30040509018137895
3,2.9981075286865235,0.2699080032335067,0.013765668869018555,0.0032569423904544835,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.606418677245238,0.6364543821121993,0.6255723293477419,0.6079539099683388,0.6257178354227615,0.6204229225418386,0.011516988856313035,178,0.6152897132015461,0.6288068275853586,0.6218514087761118,0.6206945348742541,0.6204977373134296,0.6214280443501401,0.004329163801315118
4,3.280671215057373,0.35642244524519284,0.011020612716674805,0.0002846954006832787,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.6312704615059683,0.6439796921502362,0.6207165109034283,0.7017178293117609,0.6092092332500915,0.6413818094791759,0.032284845714011884,157,0.64009568424348,0.6409357335591931,0.6109709559079747,0.7012406439922756,0.6164221423262765,0.6419330320058398,0.03203504000015607
5,3.162034797668457,0.28353487002261346,0.011676645278930664,0.0010734594982337374,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.6504146699550464,0.6630878578387666,0.6644378657955639,0.6154825378219176,0.6883389836567628,0.6563493363805376,0.023829679415845614,123,0.6590221890476736,0.6661699473346316,0.6632685616482024,0.6164031871330787,0.6903469221147881,0.6590421614556748,0.023944679409957065
6,3.839058208465576,0.6263305419530429,0.0111541748046875,0.0021876224743043035,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.6571332869547307,0.6755787875041952,0.6991727033746096,0.7156755895590214,0.6709639640209685,0.6837060798175428,0.02095674370685649,36,0.6719641612568702,0.6797650919502024,0.6975592195008282,0.7066237350643098,0.6690697398600229,0.6849963895264468,0.014672630231679038
7,3.3965516567230223,0.3238645630719032,0.011881399154663085,0.0010600201288275134,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.6815900887924272,0.6876267856315575,0.6791094062683014,0.6729088744607029,0.658873209444541,0.67602330626206,0.009786571094422452,55,0.7004551363638039,0.686167844563949,0.6777728893331602,0.6668870055964801,0.6559552409541244,0.6774476233623035,0.01535540855494809
8,4.197848987579346,0.46099927081841036,0.011791563034057618,0.0012623824390189504,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.6880307422072891,0.6925015205491363,0.6840620763489361,0.613812619776836,0.6926350849144725,0.6742066536706441,0.030365311449101217,63,0.7049838320376055,0.6890874333678828,0.6864903242739382,0.625531483635366,0.6894075973100382,0.6791001341249661,0.0275687177316133
9,4.242493724822998,0.4840457437833984,0.012261247634887696,0.0007855566434806968,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.6662124067048165,0.6647449989652369,0.6844487611508592,0.674007646364454,0.710513586683756,0.679982572258165,0.016788572681568473,47,0.6848900986663732,0.6639586619937805,0.6850625233978132,0.6668119517190251,0.7126317803308723,0.6826710032215729,0.01737787758689431
10,3.442634630203247,0.3038903013038842,0.012621307373046875,0.0006785662103536049,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.651971346947348,0.6639133913891523,0.6781186935781629,0.6479517166531572,0.6376457857759916,0.6559219274536842,0.013925817134714183,127,0.6727388187076299,0.6644911785343208,0.670691204109637,0.6544765484797231,0.6264280027964083,0.6577651505255437,0.01690777799756287
