k,GMM,Kmeans
2,0.0012945265252540879,0.0018481740308707662
3,0.00974098123791066,0.01481051755017713
4,0.013429022168304711,0.009305746965924185
5,0.012815788677079352,0.008871554563880498
6,0.006595270134467865,0.010636257439991722
7,0.016600897514736146,0.008496090501123084
8,0.01264300093023185,0.0071592560325279605
9,0.017888648888796363,0.017190309216698042
10,0.015885157825501046,0.015107849271642673
15,0.015776880279927446,0.011917481168755616
20,0.013118768402641763,0.013946848262087141
25,0.01430070321184033,0.013527409491510545
30,0.014793332486797067,0.01258430249831835
35,0.01232015149764464,0.013757488523306861
40,0.012839543941927423,0.012138512084278814
