k,TransformedAdultIncomeData sse (left)
2,9206.742650037686
3,5739.731764735901
4,4463.654949182092
5,3742.9641997087
6,3099.1929170873627
7,2712.8244705093202
8,2349.2219000706014
9,2136.4180628368017
10,1924.9132068217395
15,1288.5708861188891
20,994.0172488398207
25,791.2572116496403
30,652.893747296923
35,554.4519157526628
40,482.8332606897667
