k,TransformedBankingData BIC
2,49805.03043005544
3,47710.73287910965
4,46859.542628900126
5,46643.75086766117
6,46110.99453120727
7,45024.285722269706
8,44450.21630760077
9,44389.71537759101
10,44527.07141562759
15,43860.58597242783
20,43098.811501777614
25,42824.16927183045
30,43334.71945840664
35,44280.63940844612
40,44308.27725338183
