k,TransformedAdultIncomeData log-likelihood
2,-3.8778670292014774
3,-3.8727830859966126
4,-3.8504173660860763
5,-3.8180177537533
6,-3.8193856030158333
7,-3.8098934832025844
8,-3.808392581269851
9,-3.804224445214748
10,-3.8043359460133774
15,-3.765392585319514
20,-3.7560129614268405
25,-3.7410272364882835
30,-3.723467481092426
35,-3.7163127068976514
40,-3.7033798770217286
