k,GMM,Kmeans
2,0.14030799879439082,0.1609651456628936
3,0.12507823015218666,0.11630718075722664
4,0.11096980684855118,0.10542328096962061
5,0.095260542797768,0.10307780374606394
6,0.08598558966259386,0.08847362889900832
7,0.08728755931132329,0.08269241333967076
8,0.07740544664721627,0.07721879878855568
9,0.0726830747662421,0.0727825718694656
10,0.06981159338625242,0.06864121943725685
15,0.0638405443041905,0.06225543915154867
20,0.05709058279602567,0.057345857831077963
25,0.054059628845075786,0.05319459132093557
30,0.051764778650429215,0.0507248225711008
35,0.051033621557792806,0.048705478227380215
40,0.04836924639828394,0.047796921916511276
