,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3122591495513916,0.006827441071561232,0.003474903106689453,0.0004924763089262821,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6650465488433838,0.1652283860107763,0.0032645702362060548,0.00018042503624801697,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.4107559614408923,0.2952804726821792,0.5968866171003707,0.5978880644540208,0.6127583626000334,0.5024693947513033,0.12774824786783248,135,0.44069368236329187,0.3158020984076923,0.6144420131291027,0.5685649202733482,0.5949084412684231,0.5068822310883716,0.1131503562734125
2,0.6041343212127686,0.08184763518233465,0.0035248279571533205,0.0007295855412014407,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.500881615986636,0.5624381911354847,0.571497020333602,0.6724738184842194,0.6272610739210926,0.5868201023382157,0.05863657910429157,83,0.6222769805375634,0.5805885714125902,0.5902527075812272,0.5878651685393256,0.5761316872427981,0.5914230230627009,0.01623086536640566
3,0.5307878971099853,0.029364506688729305,0.0034492969512939452,0.00018296277178147716,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.4864277958740495,0.5624381911354847,0.5636037880726891,0.6526877402329171,0.6086146953144309,0.5746722511114248,0.0553266572915659,97,0.6051426829502716,0.5948961306349034,0.5973094170403583,0.561725562184488,0.5682758620689653,0.5854699309757974,0.017178328762752455
4,0.5298340320587158,0.08948739318620934,0.0036735057830810545,0.00023453890862191844,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.500881615986636,0.5544673798402889,0.5646409339789121,0.6644225057282667,0.622221583643442,0.5812391724660978,0.05665981577567539,89,0.6204504658170669,0.5789065250461536,0.5789713245334545,0.5707783340919431,0.5724770642201833,0.5843167427417603,0.01836821379929046
5,0.5901895523071289,0.08445317102156819,0.003497028350830078,6.380690558373718e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5364112327463109,0.6177219511501199,0.560515085722841,0.6597423349645448,0.6436775106082024,0.6035702632489548,0.0476003761656904,48,0.6334020025870728,0.6279186291211529,0.5983971504897593,0.5474860335195528,0.5851015801354399,0.5984610791705955,0.031194714163646886
6,0.5231608867645263,0.028488670760770517,0.003587150573730469,0.0001148190410734633,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.524089449124295,0.5382576103848611,0.6440479672418822,0.6044408510383437,0.5946646633376041,0.5810185621601122,0.04423048630660601,91,0.6312033155071619,0.5696156307645955,0.6457627118644067,0.5349056603773582,0.5408211420481358,0.5844616921123316,0.045876568766620864
7,0.5996304035186768,0.05902246679333894,0.0035676002502441407,8.516858949407649e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5254562491633569,0.6266190263510493,0.5838611790354408,0.6597423349645448,0.6531520258057326,0.609711073598436,0.04990600206857835,39,0.6452020945131016,0.6425377451868773,0.6121908127208477,0.562241616903996,0.6238136324417599,0.6171971803533165,0.030051204808869893
8,0.5681946277618408,0.03527493968353428,0.003901815414428711,0.00030583112357381796,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.49898305084745725,0.6136860264519836,0.5424313339081159,0.6758370535714273,0.65426183844011,0.5969733758386018,0.06687530178533738,61,0.6278833119324122,0.6003044795342853,0.5593692022263448,0.5796839729119636,0.6187175043327553,0.5971916941875522,0.025108112383204227
9,0.68020601272583,0.04242865053311655,0.004386711120605469,0.00026509716245061616,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5250679255020411,0.6041648664996109,0.6189666261702268,0.6701689820342447,0.6075364844260499,0.6051147219963806,0.04657607527597064,45,0.6276088847098852,0.6072278409755313,0.6355060034305317,0.5914362176628007,0.5640552995391702,0.6051668492635838,0.025717879703719533
10,0.7689864635467529,0.09668163542961693,0.005074644088745117,0.000547579363339223,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.43281387827109613,0.5372507869884571,0.6333045729076777,0.6769892953967399,0.6053914830195766,0.5769995457084008,0.08529450038760336,94,0.5348775728583097,0.5766906603929645,0.6384615384615384,0.5938475256353095,0.5833711949114037,0.5854496984519051,0.03322456770027119
