k,TransformedAdultIncomeData BIC
2,19079.63049465531
3,19101.549951179597
4,19038.8232653995
5,18926.950574535276
6,18980.47091056488
7,18980.799118061295
8,19020.268310736483
9,19046.673390680302
10,19094.0401319337
15,19137.398602963724
20,19325.560256845973
25,19486.263227805484
30,19634.358597585142
35,19833.4175652877
40,20004.175616263994
