k,TransformedBankingData log-likelihood
2,-10.08081696650124
3,-9.608625514369667
4,-9.390233021147088
5,-9.301566638371748
6,-9.148187194098869
7,-8.88171006250797
8,-8.719895935055213
9,-8.66293449944794
10,-8.646368524854623
15,-8.287249220817655
20,-7.908675235798562
25,-7.629556587795198
30,-7.510746722258834
35,-7.48082410936912
40,-7.263420462362669
