k,TransformedBankingData sse (left)
2,23574.81815579767
3,20382.129261121983
4,17769.068785521078
5,15859.248310273184
6,14672.78710732899
7,13652.999972268582
8,12737.84017077797
9,11997.113807086498
10,11404.792116619836
15,9324.063042779915
20,8080.663040040046
25,7160.616141576731
30,6493.0296799221105
35,6075.432028031361
40,5695.578759686531
