,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_svd__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5532266616821289,0.011007177349102594,0.00388951301574707,0.0014796284172458548,0.1,"(50, 50)",1,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 1}",0.5000000000000001,0.5,0.5,0.5,0.49999999999999983,0.5,8.947755158428845e-17,673,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.5,0.49999999999999983,7.447602459741819e-17
1,0.49284024238586427,0.057089098169662005,0.004299020767211914,0.003948614598644249,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 2}",0.5000000000000001,0.5,0.5,0.5,0.49999999999999983,0.5,8.947755158428845e-17,673,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.5,0.49999999999999983,7.447602459741819e-17
2,0.48810949325561526,0.07284498579053389,0.0030975341796875,0.0003680265206019602,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 3}",0.5000000000000001,0.5,0.5116935483870968,0.5,0.49999999999999983,0.502339378071154,0.004677920575528847,666,0.49999999999999983,0.49999999999999983,0.521622251916095,0.49999999999999983,0.5,0.5043244503832189,0.008648900766438056
3,0.6063141822814941,0.09160705007886161,0.002406597137451172,0.00020982769313420728,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 4}",0.564717741935484,0.5834677419354839,0.5522177419354839,0.5,0.5927302100161549,0.5586169405160928,0.03254302751581523,553,0.5758042557482855,0.5582133672851955,0.5839690903590157,0.49999999999999983,0.5721270161290323,0.5580227459043059,0.030182778865613467
4,0.5188629627227783,0.019157393757367448,0.0023994922637939455,7.529353853268634e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 5}",0.5046370967741937,0.5600806451612903,0.5397177419354838,0.5310483870967743,0.559268982229402,0.5389447637198547,0.02049280577670816,629,0.51325572307382,0.5512586980637352,0.5751991730536505,0.5547360326744654,0.5399697580645162,0.5468838769860375,0.02030373943793848
5,0.6682905673980712,0.11923769124605951,0.002464580535888672,0.00011080893275753942,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 6}",0.580241935483871,0.5631048387096774,0.5701612903225807,0.5,0.5943457189014538,0.5615613897323254,0.03252659285012966,543,0.5724775615167406,0.5908241730536505,0.5980315903590157,0.510735805768455,0.574445564516129,0.569302939042798,0.03083871866464091
6,0.7881454467773438,0.2401770275240246,0.0028584957122802734,0.00028036170203957965,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 7}",0.5872983870967743,0.5794354838709678,0.5864919354838709,0.5,0.6332491922455572,0.5772790082582948,0.04311102605183751,495,0.5869434499798305,0.6179407018959258,0.6280203711173861,0.49999999999999983,0.607358870967742,0.5880526787921768,0.04608241322285349
7,1.0362595081329347,0.28667739453945457,0.0026030540466308594,0.00014325254885684684,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 8}",0.5935483870967743,0.6183467741935484,0.5677419354838709,0.6082661290322581,0.64796042003231,0.6071610722112321,0.026565886494954477,314,0.5999464249697457,0.632506176885841,0.634673759580476,0.6507021480435659,0.6478830645161291,0.6331423147991515,0.018057433604581015
8,0.6953186511993408,0.22613633681374365,0.009036016464233399,0.01146089754487872,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 9}",0.6006048387096775,0.5872983870967742,0.5764112903225806,0.5,0.6425181744749594,0.5813490612313001,0.04644917255373933,471,0.6027190903590157,0.5980315903590157,0.6188981192012908,0.49999999999999983,0.6319556451612904,0.5903208890161226,0.046735734312674825
9,0.778113603591919,0.15221016817638316,0.0028257846832275392,0.0002713051491691683,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 10}",0.6052419354838711,0.5,0.5927419354838709,0.591733870967742,0.6386914378029078,0.5856666860185972,0.04608575312814379,448,0.6153697307382009,0.5169858057684549,0.640318676885841,0.636437953812021,0.6061995967741935,0.6030623527957422,0.04488307081215357
10,0.66077880859375,0.1640522522760878,0.0037088871002197267,0.000785167185657152,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 11}",0.5000000000000001,0.50625,0.5981854838709678,0.5925403225806452,0.5342689822294021,0.5462523815645846,0.04177315764087354,603,0.49999999999999983,0.505644917305365,0.6391595653489309,0.635278842275111,0.5346774193548387,0.5629521488568491,0.061782316355764866
11,0.485749626159668,0.12993638488947443,0.003491783142089844,0.00047374614224287074,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'svd__n_components': 12}",0.5000000000000001,0.5,0.5,0.5,0.6316336833602583,0.5262966403740555,0.05263088767515332,653,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.6309475806451613,0.5261895161290322,0.052379032258064596
