,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.7962441921234131,0.09336427666253617,0.10756978988647461,0.003180217027957239,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.0,0.033395176252319116,0.0,0.37606837606837606,0.0,0.0819161150684443,0.14767000362308338,379,0.0,0.03634693347712311,0.0,0.4007479799252613,0.0,0.08741898268047688,0.15729567719611398
1,1.196680498123169,0.2562041097271541,0.10748910903930664,0.0020218285577088143,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.5543071161048689,0.5900473933649292,0.6530612244897962,0.6055684454756384,0.652867200192551,0.61115835911382,0.03795796228825381,319,0.5628468199683613,0.6371422602882748,0.6462810823320141,0.6247691467917492,0.6277456647398855,0.6197569948240569,0.029439711920697376
2,0.9279249668121338,0.09976572735257831,0.10627193450927734,0.002215925853597781,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6297169811320756,0.585542168674699,0.5956937799043064,0.38793103448275856,0.6471341203242784,0.5691813446820115,0.09334583666412427,340,0.6304218498885606,0.5973339143268008,0.624358600767773,0.4515960425611314,0.6211806585582921,0.5849782132205116,0.06763138751358148
3,0.8697651386260986,0.1332279435222072,0.10818724632263184,0.004369247284657037,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.5193075898801599,0.6728323699421968,0.6211936662606579,0.6490384615384615,0.6285543250523796,0.6181823191045004,0.052603018288030594,309,0.5855822388063757,0.6831733701808705,0.6448349981034207,0.6252315064138715,0.6083981337480563,0.6294440494505189,0.03319113052053122
4,1.058018159866333,0.2637359762332795,0.10602455139160157,0.002451158707955759,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.660355029585799,0.722727272727273,0.6658878504672899,0.6968641114982579,0.7373595505617979,0.6966271251322464,0.03033122597609028,66,0.7196239909177915,0.712403390430484,0.7008835327326531,0.6747566813276042,0.6904347826086963,0.6996204756034458,0.015923090600152835
5,1.222364330291748,0.40616879559424746,0.10588536262512208,0.0006123250779973968,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.6651108518086349,0.7087155963302754,0.6767441860465119,0.6861143523920655,0.7267873034707802,0.6926847144127799,0.022255830469991026,84,0.7375372553198897,0.6963510856667672,0.7021089532023184,0.6801511558312382,0.6764533176746924,0.6985203535389811,0.021745270251197803
6,1.1091297149658204,0.22359496401333298,0.1106332778930664,0.006235873505562551,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.642857142857143,0.7307262569832403,0.6211936662606579,0.683901292596945,0.6016493678873731,0.656081097239744,0.04625906727248933,250,0.6965790809296138,0.7149829989944725,0.6722530667247409,0.6757949800627717,0.6139968895800936,0.6747214032583384,0.03403958277728655
7,1.2504779815673828,0.1396275180057732,0.10923218727111816,0.0015225938885793044,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.6611374407582941,0.6792452830188682,0.661195779601407,0.709529276693456,0.7097395948360674,0.6841621671451353,0.021813798299831547,121,0.7194173680513559,0.6808898683435545,0.7043880768341979,0.6994105215777234,0.6871165644171785,0.6982444798448021,0.013508572644227317
8,1.129906129837036,0.22522873603794255,0.10850825309753417,0.001784621361345355,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.6571428571428571,0.7274749721913241,0.6095471236230111,0.6722288438617403,0.7101696290885481,0.6753027232083875,0.041476243468740175,167,0.7123438266010961,0.7210677940098464,0.651426222748987,0.657160142175785,0.6727973894986659,0.6829590750068761,0.028561875461566417
9,1.1103986263275147,0.08570037997628285,0.1083681583404541,0.00331611753771668,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.6044226044226045,0.7167235494880547,0.641330166270784,0.6713286713286715,0.7051901998710512,0.6677883520339941,0.041283835973466965,197,0.6555657196957523,0.6963510856667672,0.6917369991287221,0.7231819029089246,0.674649532710281,0.6882970480220895,0.022588706977894866
10,1.0923336505889893,0.09671479511421807,0.11085858345031738,0.0064174014047192135,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.6728971962616824,0.7118644067796612,0.6051032806804375,0.6443914081145585,0.6899383983572895,0.6648317647148281,0.03713174603470463,209,0.7382184296387755,0.674697950620616,0.6981605141114282,0.6870109251554625,0.6720285969615735,0.6940232832975711,0.02398639412556505
