iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,0.0751592409997
10,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,0.963490219
20,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,1.817719302
30,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,2.64826351
40,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,3.488392817
50,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,4.346303499
60,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,5.213652015
70,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,6.059879492
80,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,6.900851672
90,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,7.731821165
100,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,8.560000328
110,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,9.427307339
120,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,10.284665004
130,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,11.146631669
140,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,11.971407591
150,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,12.811384267
160,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,13.695556572
170,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,14.554233686
180,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,15.399218825
190,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,16.227494664
200,0.120825,0.1197265625,0.119761976198,0.75835,0.760546875,0.760476047605,0,0,0,17.049755454
