k,GMM,Kmeans
2,0.002665183061969039,0.003938322170961608
3,0.006923654300746731,0.017941877556075545
4,0.01428783979489713,0.01337060591501944
5,0.011091901451914382,0.013434039120887073
6,0.007922183979971915,0.010345288051728182
7,0.009162514719253126,0.008750495631982236
8,0.013434428124136033,0.00971424115655843
9,0.009002311379928853,0.015542673842478379
10,0.01270431994875461,0.014011430232109837
15,0.010264800434044045,0.00909475077492136
20,0.00885902125728924,0.01064731735007667
25,0.009804057686625409,0.009749807761042839
30,0.008583020042417747,0.010388925485491465
35,0.010650427669494669,0.011145718482880599
40,0.007749691786076827,0.01015398296529309
