k,TransformedAdultIncomeData sse (left)
2,37245.732659107554
3,32846.86478812013
4,29456.79412837585
5,26190.210171284576
6,23223.913121294398
7,21282.122154295084
8,19654.523709326662
9,18396.53906803267
10,17437.299896547258
15,14544.5973107559
20,12727.299159213677
25,11504.339898030445
30,10576.023675877852
35,9770.99387210514
40,9230.054018789364
