k,GMM,Kmeans
2,0.18683692021000697,0.2055740875803557
3,0.14897652387773358,0.2166815818044024
4,0.040295352155896996,0.21098593324734585
5,0.09942702295383808,0.20012175133405682
6,0.13395123914030588,0.2112007397940626
7,0.12403060032286012,0.21182931773148855
8,0.13763298046362082,0.21305037076975525
9,0.07476671743325107,0.21790851781780032
10,0.12346249811637611,0.2154293226655253
15,0.13392772596636643,0.21672118200833368
20,0.07305711558133104,0.21700307326935034
25,0.07906045633127044,0.21402804520846863
30,0.09571785997466117,0.21324668023529797
35,0.10520902833029941,0.20841662142708156
40,0.09132156443149725,0.19875365889102767
