k,TransformedAdultIncomeData BIC
2,61372.31039031618
3,55329.29246723342
4,54492.79101220738
5,53882.13293680698
6,52941.46365871948
7,51505.86951239009
8,50775.973897147145
9,50037.049565014735
10,50261.42101933429
15,47916.49832140854
20,47846.62043525834
25,44730.36528081891
30,47189.683512528136
35,48718.414829519475
40,47688.60735267597
