k,TransformedBankingData BIC
2,50520.82212938332
3,47671.654796233284
4,45592.46072546186
5,45413.684462240766
6,45236.146215978944
7,44693.95998314873
8,45170.70979178324
9,44421.74366557047
10,44676.67803550668
15,44080.81169458874
20,42293.037533613024
25,43534.41209203001
30,43334.82479977524
35,43736.89185107479
40,43384.21059004698
