k,GMM,Kmeans
2,0.011655726064873318,0.15513959969255522
3,0.08405712434818766,0.11556390344644693
4,0.07488411933316093,0.09089615320147514
5,0.062079720046556305,0.08262824818868005
6,0.06472497373456286,0.07923614310002562
7,0.06116140543547387,0.07119508793482682
8,0.05072669047964662,0.07247915280021752
9,0.0560834516061259,0.0664094277784385
10,0.05943758684485218,0.06190029309139758
15,0.04652060679993108,0.0577202067064029
20,0.04771411962220091,0.0556184427603891
25,0.04431733877179662,0.04829014067735251
30,0.044622420950314996,0.04650283932029946
35,0.04394789515603893,0.046332786740282246
40,0.04383787867576263,0.04558961060863539
