k,TransformedBankingData log-likelihood
2,-10.226956553950787
3,-9.600647138935537
4,-9.131539288309549
5,-9.05043017340229
6,-8.969573818184552
7,-8.814269119445296
8,-8.866995462246408
9,-8.66947355375163
10,-8.676912955209684
15,-8.332211597739033
20,-7.744164421555075
25,-7.774563288530103
30,-7.5107682292756985
35,-7.369809908190816
40,-7.074758424115457
