k,TransformedBankingData sse (left)
2,24057.873693885023
3,20538.01479785464
4,17831.27832813911
5,15877.178144704983
6,14653.35674269215
7,13790.32151522323
8,12845.240429718804
9,12133.003390829139
10,11596.2581514194
15,9512.107109270934
20,8288.047520781747
25,7515.297334847826
30,6845.000947288291
35,6358.085455754728
40,5980.533541238838
