k,TransformedAdultIncomeData log-likelihood
2,-12.388281884493148
3,-11.082815877828057
4,-10.840338125155766
5,-10.64396967824616
6,-10.380224505593986
7,-10.015433014395082
8,-9.794720439302024
9,-9.5721645165386
10,-9.546279844582026
15,-8.709061472646544
20,-8.336327545744863
25,-7.341630109596707
30,-7.485269420314346
35,-7.438915485887457
40,-6.870197567419156
