k,GMM,Kmeans
2,0.8856676194365047,0.8856676194365047
3,0.8856676194365047,0.8856676194365047
4,0.8856676194365047,0.8856676194365047
5,0.8856676194365047,0.8856676194365047
6,0.8856676194365047,0.8856676194365047
7,0.8856676194365047,0.8856676194365047
8,0.8856676194365047,0.8856676194365047
9,0.8856676194365047,0.8897509187423438
10,0.8856676194365047,0.8856676194365047
15,0.8856676194365047,0.8856676194365047
20,0.8856676194365047,0.8877092690894243
25,0.8856676194365047,0.8856676194365047
30,0.8856676194365047,0.8877092690894243
35,0.8860759493670886,0.8917925683952633
40,0.8856676194365047,0.8905675786035117
