episode,length,time,reward,delta
0,52.0,0.0029630000000224754,0.0,-0.0006660477114826718
1,13.0,0.0007780000000252585,0.0,-8.808379944194022e-05
2,27.0,0.0019039999999677093,0.0,-0.0007488120829728423
3,14.0,0.0008349999999950342,0.0,-0.0007206732619266504
4,18.0,0.0010489999999663269,0.0,-0.00023004024834010387
5,23.0,0.0014329999999631582,0.0,-0.0005645409032897009
6,51.0,0.002881000000002132,0.0,-0.0006885834604697617
7,64.0,0.003467999999998028,0.0,-0.0008203223371778851
8,74.0,0.004126999999982672,0.0,-0.0007401584771967706
9,49.0,0.0026619999999866195,0.0,-0.0003572578461273231
10,17.0,0.001079000000004271,0.0,-0.0006007403488084546
11,18.0,0.0010209999999801767,0.0,-0.00018009728670349007
12,21.0,0.001178999999979169,0.0,-0.0005557373630424452
13,36.0,0.001967999999976655,0.0,-0.0001112291730831095
14,36.0,0.0020339999999805514,0.0,-0.00025828002977283725
15,11.0,0.0006470000000149412,0.0,-0.00023482115902693243
16,16.0,0.0009120000000280015,0.0,-0.0007495410473413646
17,33.0,0.0019429999999829306,0.0,-4.9780009126778205e-05
18,28.0,0.0015379999999822758,0.0,-8.460984131374582e-05
19,32.0,0.002154000000018641,0.0,-0.00035328048895505806
20,15.0,0.0011410000000182663,0.0,-0.0005406663139276091
21,28.0,0.002326999999979762,0.0,-0.00018654699615173169
22,12.0,0.0008629999999811844,0.0,-0.00039866946698270336
23,9.0,0.000665000000026339,0.0,-0.00018374369167937544
24,40.0,0.0024620000000368236,0.0,-0.0005387427284644892
25,42.0,0.0024629999999774554,0.0,-0.000358802520284433
26,45.0,0.0029339999999820066,0.0,-0.00016789229653655854
27,47.0,0.0026460000000270156,0.0,-0.00016536932251143792
28,41.0,0.002315000000010059,0.0,-0.0003436307120380787
29,44.0,0.002755000000036034,0.0,-0.00018288952041217962
30,74.0,0.004943000000025677,0.0,-0.0007304686028105278
31,14.0,0.0008589999999912834,0.0,-0.0005082284668165246
32,13.0,0.0008169999999836364,0.0,-0.00011534988734599064
33,16.0,0.0009509999999863794,0.0,-0.0004529146896934826
34,10.0,0.0006330000000502878,0.0,-0.00016208755803314104
35,32.0,0.0021380000000021937,0.0,-8.871585528255427e-05
36,67.0,0.004105000000038217,0.0,-0.00040762322072413436
37,162.0,0.009788999999955195,0.0,-0.0002308324689871895
38,41.0,0.00235200000003033,0.0,-0.00022265054528068353
39,5.0,0.0003490000000283544,0.0,-8.581626929490752e-05
40,58.0,0.0032740000000330838,0.0,-0.0003668608986517209
41,60.0,0.003558999999995649,0.0,-6.667303268549338e-05
42,4.0,0.0003669999999829088,0.0,-6.000572941694403e-05
43,22.0,0.001508000000001175,0.0,-0.00019425025659403972
44,71.0,0.004022000000020398,0.0,-5.7049426297043674e-05
45,8.0,0.0005179999999995744,0.0,-5.4005156475249637e-05
46,39.0,0.0022289999999998145,0.0,-0.0006041366748276742
47,105.0,0.005876999999998134,0.0,-4.072206205938054e-05
48,14.0,0.0009089999999787324,0.0,-0.0002421036821567995
49,33.0,0.0018489999999928841,0.0,-3.6649855853442486e-05
50,18.0,0.0011780000000385371,0.0,-0.0004865996825348482
51,51.0,0.002777000000037333,1.0,0.9993638620842954
52,6.0,0.00038500000005115,0.0,-0.00011220143124098332
53,25.0,0.0015230000000201471,0.0,-0.0005899499714191037
54,57.0,0.0031179999999721986,0.0,-3.6236640009885987e-05
55,27.0,0.0016340000000241162,0.0,-2.3878028584705475e-05
56,11.0,0.0007269999999834909,0.0,-0.00010098128811688498
57,35.0,0.002234999999984666,0.0,-0.00046036715390142084
58,8.0,0.0005029999999806023,0.0,-2.355278797746696e-05
59,13.0,0.0008399999999824104,0.0,6.58774290208491e-05
60,16.0,0.0009269999999901302,0.0,-0.00035548755112585847
61,10.0,0.0006000000000199179,0.0,-9.088315930519648e-05
62,47.0,0.0026070000000117943,0.0,-0.00010406088496802841
63,15.0,0.0008650000000329783,0.0,-0.00026021973960474036
64,17.0,0.0009779999999750544,0.0,-1.5154230859726637e-05
65,17.0,0.0009699999999952524,0.0,-0.00043793971428136337
66,42.0,0.0023080000000277323,0.0,-9.54870986681386e-06
67,18.0,0.0012029999999754182,0.0,-8.382229086055505e-05
68,13.0,0.0007590000000163855,0.0,-8.179484337467683e-05
69,14.0,0.0008139999999912106,0.0,-8.757411231829256e-05
70,51.0,0.0028069999999615902,0.0,-0.0004514909295805149
71,24.0,0.0014330000000200016,0.0,-5.820901400051587e-06
72,35.0,0.0019350000000031287,0.0,-1.1640789566169651e-06
73,60.0,0.003264999999998963,0.0,-0.000695876092504912
74,30.0,0.0016660000000001673,0.0,-7.88167010864633e-05
75,31.0,0.0019409999999879801,0.0,-7.696775024205272e-05
76,16.0,0.0009200000000078035,0.0,4.4966101095687475e-06
77,33.0,0.0018220000000042091,0.0,-0.00018046756096962618
78,15.0,0.0008619999999837091,0.0,3.7522313152306357e-06
79,12.0,0.0007029999999872416,0.0,-0.0004174512183381239
80,30.0,0.0016600000000153159,0.0,-0.00064787935530495
81,17.0,0.0009689999999977772,0.0,-0.00025951050798357595
82,20.0,0.0012199999999893407,0.0,8.337389458841057e-06
83,15.0,0.0008660000000304535,0.0,-7.093503097781696e-05
84,16.0,0.0010199999999827014,0.0,-6.401102451331885e-05
85,23.0,0.0013069999999970605,0.0,-0.000394145742853227
86,36.0,0.0021879999999896427,0.0,-0.00016242080487266356
87,75.0,0.004086999999969976,0.0,-5.760992206198697e-05
88,10.0,0.0005990000000224427,0.0,-4.525033502955648e-05
89,99.0,0.005498999999986154,0.0,-0.0006487910331679391
90,52.0,0.002843999999981861,0.0,-0.00016604764732667274
91,21.0,0.0011850000000208638,0.0,-0.0003174662206343791
92,8.0,0.0004950000000008004,0.0,7.314173567953241e-06
93,41.0,0.0022510000000011132,0.0,-0.0002857195985709412
94,20.0,0.0011389999999664724,0.0,1.2155113512195616e-05
95,12.0,0.0007120000000213622,0.0,1.0939602160976055e-05
96,7.0,0.00044900000000325235,0.0,-3.298350362874475e-05
97,15.0,0.0011279999999942447,0.0,9.845641944878451e-06
98,60.0,0.0032699999999863394,0.0,-0.00014944288259400546
99,34.0,0.0018760000000384025,0.0,-0.0006826138884108761
100,7.0,0.00043999999996913175,0.0,-0.00015934155531379383
101,18.0,0.0010270000000218715,0.0,-5.393451160750273e-05
102,20.0,0.0013260000000059335,0.0,-0.00023355945718521836
103,10.0,0.0005999999999630745,0.0,1.4240473364613158e-05
104,27.0,0.0015109999999936008,0.0,-0.00018489076912738683
105,35.0,0.0019300000000157524,0.0,1.453180888605742e-05
106,34.0,0.0019500000000221007,0.0,-0.0001975670623991298
107,37.0,0.0020410000000197215,0.0,1.660075204223486e-05
108,11.0,0.00068999999996322,0.0,-0.00016640169221464817
109,15.0,0.0008639999999786596,0.0,-2.041802151411737e-05
110,33.0,0.001832000000035805,0.0,-0.0003802899159521963
111,25.0,0.0016249999999899956,0.0,-1.8201070307231795e-05
112,21.0,0.0011830000000259133,0.0,-0.0006340960478662276
113,7.0,0.000436999999976706,0.0,1.4940676838011374e-05
114,21.0,0.001404999999977008,0.0,-0.00025255590657100263
115,8.0,0.0004920000000083746,0.0,-1.638096327650861e-05
116,12.0,0.0007029999999872416,0.0,-0.00022585041472552358
117,25.0,0.001396999999997206,0.0,-0.0001718106438336729
118,26.0,0.0014520000000288746,0.0,-2.3336679240243933e-05
119,12.0,0.0007119999999645188,0.0,-0.0001546295794503056
120,58.0,0.003173000000003867,0.0,-0.00013916662150527506
121,60.0,0.0034270000000447,0.0,1.7398210003525188e-05
122,9.0,0.000551999999970576,0.0,-7.020152181460193e-06
123,27.0,0.0015010000000188484,0.0,-0.00010843294182280314
124,27.0,0.0015070000000036998,0.0,-0.00014976152299318337
125,17.0,0.000968000000000302,0.0,-0.00022335508837191903
126,8.0,0.0004950000000008004,0.0,-0.00020101957953472713
127,23.0,0.0014039999999795327,0.0,-0.0003902922256349903
128,16.0,0.0009190000000103282,0.0,-0.0001568107755621221
129,18.0,0.0010209999999801767,0.0,2.0430740300029434e-05
130,13.0,0.0007929999999873871,0.0,3.3892843692738834e-05
131,33.0,0.0018179999999574648,0.0,-0.0005839119298511452
132,20.0,0.0011309999999866704,0.0,2.1961424920140105e-05
133,12.0,0.0008460000000241052,0.0,-0.00030254535357142657
134,35.0,0.0019289999999614338,0.0,2.2379205174382933e-05
