steps,time,reward,delta,converged
1,0.02883700000029421,0.0,0,False
2,0.027679999999691063,0.0,0,False
3,0.027439999999842257,0.0,0,False
4,0.028293999999732478,0.0,0,False
5,0.029601000000184285,0.0,0,False
6,0.027532000000064727,0.0,0,False
7,0.026970999999775813,0.0,0,False
8,0.027208999999857042,0.0,0,False
9,0.027004999999917345,0.0,0,False
10,0.026996000000053755,0.0,0,False
11,0.027092999999695166,0.0,0,False
12,0.027039999999942665,0.0,0,False
13,0.029475999999704072,0.0,0,False
14,0.026965999999902124,0.0,0,False
15,0.027199000000109663,0.0,0,False
16,0.028777999999874737,0.0,0,False
17,0.02772099999992861,0.0,0,False
18,0.027184999999917636,0.0,0,False
19,0.026991000000180065,0.0,0,False
20,0.027287999999771273,0.0,0,False
21,0.02736700000014025,0.0,0,False
22,0.027536000000054628,0.0,0,False
23,0.027216999999836844,0.0,0,False
24,0.027181000000382483,0.0,0,False
25,0.02709899999990739,0.0,0,False
26,0.027985000000171567,0.0,0,False
27,0.02710800000022573,0.0,0,False
28,0.027034000000185188,0.0,0,False
29,0.02690500000016982,0.0,0,False
30,0.027107999999770982,0.0,0,False
31,0.02727699999968536,0.0,0,False
32,0.027185999999801425,0.0,0,False
33,0.03593799999998737,0.0,0,False
34,0.02700600000025588,0.0,0,False
35,0.026463000000148895,0.0,0,False
36,0.02766799999972136,0.0,0,False
37,0.027265000000170403,0.0,0,False
38,0.026820999999927153,0.0,0,False
39,0.026908999999704974,0.0,0,False
40,0.026832000000013068,0.0,0,False
41,0.02717400000028647,0.0,0,False
42,0.02701200000001336,0.0,0,False
43,0.027092999999695166,0.0,0,False
44,0.02804500000002008,0.0,0,False
45,0.027219999999942956,0.0,0,False
46,0.02676000000019485,0.0,0,False
47,0.027286999999887485,0.0,0,False
48,0.027264999999715656,0.0,0,False
49,0.026911999999811087,0.0,0,False
50,0.0267519999997603,0.0,0,False
51,0.026604000000133965,0.0,0,False
52,0.027022999999644526,0.0,0,False
53,0.02839300000005096,0.0,0,False
54,0.029716999999891414,0.0,0,False
55,0.02732700000024124,0.0,0,False
56,0.02698000000009415,0.0,0,False
57,0.02701500000011947,0.0,0,False
58,0.026722999999947206,0.0,0,False
59,0.026922999999897,0.0,0,False
60,0.029372999999850435,0.0,0,False
61,0.028048000000126194,0.0,0,False
62,0.026600000000144064,0.0,0,False
63,0.026894999999967695,0.0,0,False
64,0.026815000000169675,0.0,0,False
65,0.02640700000029028,0.0,0,False
66,0.026581999999962136,0.0,0,False
67,0.02645299999994677,0.0,0,False
68,0.026350000000093132,0.0,0,False
69,0.026506000000154017,0.0,0,False
70,0.026683000000048196,0.0,0,False
71,0.02687599999990198,0.0,0,False
72,0.026546999999936816,0.0,0,False
73,0.027299000000311935,0.0,0,False
74,0.02797499999996944,0.0,0,False
75,0.026824999999917054,0.0,0,False
76,0.026539999999840802,0.0,0,False
77,0.02740300000004936,0.0,0,False
78,0.026929000000109227,0.0,0,False
79,0.02753500000017084,0.0,0,False
80,0.02745600000025661,0.0,0,False
81,0.027043999999932566,0.0,0,False
82,0.027021999999760737,0.0,0,False
83,0.02767199999971126,0.0,0,False
84,0.02713599999970029,0.0,0,False
85,0.02691400000003341,0.0,0,False
86,0.027078999999957887,0.0,0,False
87,0.026814999999714928,0.0,0,False
88,0.026957999999922322,0.0,0,False
89,0.02707300000020041,0.0,0,False
90,0.027162999999745807,0.0,0,False
91,0.02696299999979601,0.0,0,False
92,0.027208999999857042,0.0,0,False
93,0.02783099999987826,0.0,0,False
94,0.027259999999841966,0.0,0,False
95,0.026873000000250613,0.0,0,False
96,0.029228000000330212,0.0,0,False
97,0.027718999999706284,0.0,0,False
98,0.02749599999970087,0.0,0,False
99,0.028292000000419648,0.0,0,False
100,0.028698000000076718,0.0,0,False
101,0.02725800000007439,0.0,0,False
102,0.02744299999994837,0.0,0,False
103,0.02728000000024622,0.0,0,False
104,0.026999000000159867,0.0,0,False
105,0.027295999999751075,0.0,0,False
106,0.02697500000022046,0.0,0,False
107,0.028975000000173168,0.0,0,False
108,0.027168999999958032,0.0,0,False
109,0.027386000000205968,0.0,0,False
110,0.027233000000251195,0.0,0,False
111,0.027127999999720487,0.0,0,False
112,0.026906999999937398,0.0,0,False
113,0.02680000000009386,0.0,0,False
114,0.02709499999991749,0.0,0,False
115,0.027751999999964028,0.0,0,False
116,0.028346999999939726,0.0,0,False
117,0.02882499999986976,0.0,0,False
118,0.02776399999993373,0.0,0,False
119,0.02740300000004936,0.0,0,False
120,0.026800999999977648,0.0,0,False
121,0.027230000000145083,0.0,0,False
122,0.028056000000105996,0.0,0,False
123,0.027207000000089465,0.0,0,False
124,0.026446000000305503,0.0,0,False
125,0.026754999999866413,0.0,0,False
126,0.026792999999997846,0.0,0,False
127,0.02674699999988661,0.0,0,False
128,0.027677999999923486,0.0,0,False
129,0.026965000000018335,0.0,0,False
130,0.02731099999982689,0.0,0,False
131,0.027083000000402535,0.0,0,False
132,0.027008000000023458,0.0,0,False
133,0.027149999999892316,0.0,0,False
134,0.026726000000053318,0.0,0,False
135,0.0267479999997704,0.0,0,False
136,0.02712500000006912,0.0,0,False
137,0.026906999999937398,0.0,0,False
138,0.026894000000083906,0.0,0,False
139,0.026941999999962718,0.0,0,False
140,0.026902999999947497,0.0,0,False
141,0.026781999999911932,0.0,0,False
142,0.026886000000104104,0.0,0,False
143,0.026784000000134256,0.0,0,False
144,0.026805999999851338,0.0,0,False
145,0.026854000000184897,0.0,0,False
146,0.028276999999889085,0.0,0,False
147,0.026612999999997555,0.0,0,False
148,0.026819000000159576,0.0,0,False
149,0.026572000000214757,0.0,0,False
150,0.026626999999734835,0.0,0,False
151,0.026592999999593303,0.0,0,False
152,0.026526000000103522,0.0,0,False
153,0.026648999999906664,0.0,0,False
154,0.026526000000103522,0.0,0,False
155,0.026714000000083615,0.0,0,False
156,0.026675000000068394,0.0,0,False
157,0.027145000000018626,0.0,0,False
158,0.026805999999851338,0.0,0,False
159,0.02673899999990681,0.0,0,False
160,0.027052999999796157,0.0,0,False
161,0.0266540000002351,0.0,0,False
162,0.027027999999972963,0.0,0,False
163,0.026704999999765278,0.0,0,False
164,0.02670799999987139,0.0,0,False
165,0.026678000000174507,0.0,0,False
166,0.026842000000215194,0.0,0,False
167,0.026833999999780644,0.0,0,False
168,0.026820999999927153,0.0,0,False
169,0.026688000000376633,0.0,0,False
170,0.026832999999896856,0.0,0,False
171,0.02646699999968405,0.0,0,False
172,0.026353000000199245,0.0,0,False
173,0.028553000000101747,0.0,0,False
174,0.028585999999904743,0.0,0,False
175,0.02681799999982104,0.0,0,False
176,0.026714000000083615,0.0,0,False
177,0.026444999999966967,0.0,0,False
178,0.02658400000018446,0.0,0,False
179,0.02634600000010323,0.0,0,False
180,0.02692799999977069,0.0,0,False
181,0.026587000000290573,0.0,0,False
182,0.026627000000189582,0.0,0,False
183,0.02861899999970774,0.0,0,False
184,0.02793500000007043,0.0,0,False
185,0.02737200000001394,0.0,0,False
186,0.027149999999892316,0.0,0,False
187,0.0271269999998367,0.0,0,False
188,0.02699800000027608,0.0,0,False
189,0.027375000000120053,0.0,0,False
190,0.02700700000013967,0.0,0,False
191,0.026961000000028434,0.0,0,False
192,0.0266990000000078,0.0,0,False
193,0.0279539999996814,0.0,0,False
194,0.02713599999970029,0.0,0,False
195,0.026700000000346336,0.0,0,False
196,0.02677799999992203,0.0,0,False
197,0.02667299999984607,0.0,0,False
198,0.026931999999760592,0.0,0,False
199,0.0269719999996596,0.0,0,False
200,0.02690500000016982,0.0,0,False
201,0.027265000000170403,0.0,0,False
202,0.026979000000210362,0.0,0,False
203,0.02668600000015431,0.0,0,False
204,0.026840999999876658,0.0,0,False
205,0.026704000000336237,0.0,0,False
206,0.02657100000033097,0.0,0,False
207,0.026604000000133965,0.0,0,False
208,0.0264790000001085,0.0,0,False
209,0.0266460000002553,0.0,0,False
210,0.026644000000032975,0.0,0,False
211,0.026507000000037806,0.0,0,False
212,0.0264870000000883,0.0,0,False
213,0.026638999999704538,0.0,0,False
214,0.026494000000184315,0.0,0,False
215,0.03526099999999133,0.0,0,False
216,0.030447999999978492,0.0,0,False
217,0.02646999999979016,0.0,0,False
218,0.026793999999881635,0.0,0,False
219,0.026644000000032975,0.0,0,False
220,0.02778600000010556,0.0,0,False
221,0.02676900000005844,0.0,0,False
222,0.02704200000016499,0.0,0,False
223,0.027505999999902997,0.0,0,False
