episode,length,time,reward,delta
0,500.0,0.027335000000221044,0.0,-0.00020412936003228388
1,500.0,0.02661500000021988,0.0,-0.0004020511709041635
2,500.0,0.026468999999906373,0.0,-0.0004937081612076142
3,500.0,0.026511000000027707,0.0,-0.00030282351876771924
4,500.0,0.026123000000097818,0.0,-0.0002224881266172956
5,500.0,0.02938799999992625,0.0,-0.0005334576426109967
6,348.0,0.01949400000012247,1.0,1.0001634863983724
7,500.0,0.027216999999836844,0.0,-0.0006361766559713905
8,500.0,0.026675999999952182,0.0,-0.0002107854452626209
9,500.0,0.026526000000103522,0.0,-0.0004723635714660435
10,500.0,0.027180000000043947,0.0,-0.00020958300422122133
11,318.0,0.017581999999947584,1.0,0.9101252176740149
12,500.0,0.027220999999826745,0.0,-0.000547526601939784
13,500.0,0.027617000000191183,0.0,-0.0004179965730511976
14,500.0,0.026467000000138796,0.0,-0.0003785303743370775
15,500.0,0.026757999999972526,0.0,-0.00041046446986022444
16,500.0,0.026528000000325846,0.0,-0.0001155334492884521
17,500.0,0.026389000000108354,0.0,-3.595505259266657e-05
18,500.0,0.02643500000021959,0.0,-0.0001483230318854516
19,500.0,0.026722000000063417,0.0,-0.00016087155818345834
20,500.0,0.02650499999981548,0.0,-0.0004526296429691021
21,500.0,0.026352000000315456,0.0,-0.00035094565371139493
22,500.0,0.026853000000301108,0.0,-0.00016655791247861007
23,500.0,0.027360999999928026,0.0,-0.0003084076794392759
24,500.0,0.026800999999977648,0.0,-0.0003967199643491177
25,500.0,0.02656200000001263,0.0,-0.000369761982548408
26,500.0,0.026868000000376924,0.0,-0.00032780037642139796
27,500.0,0.02673400000003312,0.0,-0.00010693107128097552
28,500.0,0.02731099999982689,0.0,-0.00010077384083495718
29,500.0,0.026648999999906664,0.0,-5.124100706409969e-05
30,500.0,0.027309000000059314,0.0,-0.00017347669228142938
31,500.0,0.027437000000190892,0.0,-0.0001459251558845677
32,500.0,0.02644800000007308,0.0,-0.0002192424730033372
33,500.0,0.02662300000019968,0.0,-0.00015016695790431308
34,500.0,0.026240000000143482,0.0,-0.18005442451798367
35,451.0,0.02392299999974057,1.0,0.8371181383584118
