steps,time,reward,delta,converged
1,0.029458999999974367,0.0,0,False
2,0.02760000000000673,0.0,0,False
3,0.026992999999947642,0.0,0,False
4,0.02694599999995262,0.0,0,False
5,0.0272979999999734,0.0,0,False
6,0.02670100000000275,0.0,0,False
7,0.026478999999994812,0.0,0,False
8,0.02779200000009041,0.0,0,False
9,0.02816999999993186,0.0,0,False
10,0.027178000000048996,0.0,0,False
11,0.027557999999999083,0.0,0,False
12,0.027557999999999083,0.0,0,False
13,0.028593999999998232,0.0,0,False
14,0.028409000000010565,0.0,0,False
15,0.02870600000005652,0.0,0,False
16,0.029152999999951135,0.0,0,False
17,0.028611000000068998,0.0,0,False
18,0.028229000000010274,0.0,0,False
19,0.027647000000001754,0.0,0,False
20,0.028563999999960288,0.0,0,False
21,0.028752000000054068,0.0,0,False
22,0.02928600000007009,0.0,0,False
23,0.029543999999987136,0.0,0,False
24,0.02807400000006055,0.0,0,False
25,0.02884099999994305,0.0,0,False
26,0.028815000000008695,0.0,0,False
27,0.028685999999993328,0.0,0,False
28,0.028972999999950844,0.0,0,False
29,0.028651000000081694,0.0,0,False
30,0.029098999999973785,0.0,0,False
31,0.028692999999975655,0.0,0,False
32,0.02952000000004773,0.0,0,False
33,0.027871000000004642,0.0,0,False
34,0.026422000000025037,0.0,0,False
35,0.02694399999995767,0.0,0,False
36,0.026783000000023094,0.0,0,False
37,0.028657999999950334,0.0,0,False
38,0.02872100000001865,0.0,0,False
39,0.028599999999983083,0.0,0,False
40,0.028729999999995925,0.0,0,False
41,0.02937999999994645,0.0,0,False
42,0.032383999999979096,0.0,0,False
43,0.031099999999923966,0.0,0,False
44,0.030036999999992986,0.0,0,False
45,0.03363899999999376,0.0,0,False
46,0.028774999999995998,0.0,0,False
47,0.027582000000052176,0.0,0,False
48,0.02796499999999469,0.0,0,False
49,0.027375000000006366,0.0,0,False
50,0.027975999999966916,0.0,0,False
51,0.029280000000085238,0.0,0,False
52,0.028668000000038774,0.0,0,False
53,0.028750000000059117,0.0,0,False
54,0.033679000000006454,0.0,0,False
55,0.031756000000086715,0.0,0,False
56,0.04411200000004101,0.0,0,False
57,0.03684900000007474,0.0,0,False
58,0.03379899999993086,0.0,0,False
59,0.03237100000001192,0.0,0,False
60,0.0348709999999528,0.0,0,False
61,0.032090000000039254,0.0,0,False
62,0.03265499999997701,0.0,0,False
63,0.02935000000002219,0.0,0,False
64,0.029892000000018015,0.0,0,False
65,0.03178200000002107,0.0,0,False
66,0.02914500000008502,0.0,0,False
67,0.03040899999996327,0.0,0,False
68,0.029867000000081134,0.0,0,False
69,0.02948900000001231,0.0,0,False
70,0.02971900000000005,0.0,0,False
71,0.029019999999945867,0.0,0,False
72,0.036804000000074666,0.0,0,False
73,0.034476000000040585,0.0,0,False
74,0.030394000000001142,0.0,0,False
75,0.030183999999962907,0.0,0,False
76,0.031082999999966887,0.0,0,False
77,0.030427000000031512,0.0,0,False
78,0.0300480000000789,0.0,0,False
79,0.030242999999927633,0.0,0,False
80,0.032893999999942025,0.0,0,False
81,0.03305399999999281,0.0,0,False
82,0.03474899999991976,0.0,0,False
83,0.03279999999995198,0.0,0,False
84,0.032185000000026776,0.0,0,False
85,0.03175199999998313,0.0,0,False
86,0.030981999999994514,0.0,0,False
87,0.029566999999929067,0.0,0,False
88,0.030700000000024374,0.0,0,False
89,0.03013900000007652,0.0,0,False
90,0.02963199999999233,0.0,0,False
91,0.0307549999999992,0.0,0,False
92,0.03034500000001117,0.0,0,False
93,0.030676999999968757,0.0,0,False
94,0.030308999999988373,0.0,0,False
95,0.03123599999992166,0.0,0,False
96,0.03290900000001784,0.0,0,False
97,0.029721999999992477,0.0,0,False
98,0.03232300000001942,0.0,0,False
99,0.032562000000098124,0.0,0,False
100,0.03021400000000085,0.0,0,False
101,0.030389000000013766,0.0,0,False
102,0.02911699999992834,0.0,0,False
103,0.030537999999978638,0.0,0,False
104,0.03041700000005676,0.0,0,False
105,0.029995999999982814,0.0,0,False
106,0.02901899999994839,0.0,0,False
