episode,length,time,reward,delta
0,500.0,0.027109999999993306,0.0,-9.450775880499965e-05
1,174.0,0.009925000000293949,1.0,1.0001623552413141
2,191.0,0.010060000000066793,1.0,0.10001623552413152
3,94.0,0.005000999999992928,1.0,0.9958914215565625
4,176.0,0.009293999999954394,1.0,0.384761946571046
5,221.0,0.011732999999821914,1.0,0.09958914215565629
6,36.0,0.0019520000000738946,1.0,0.009958914215565606
7,45.0,0.0024380000004384783,1.0,0.3519199800851063
8,111.0,0.006274999999732245,1.0,0.3281100769451104
9,43.0,0.0023719999999229913,1.0,0.20704883619183512
10,48.0,0.0031669999998484855,1.0,0.3417836977313906
11,84.0,0.004597000000103435,1.0,0.03847619465710461
12,79.0,0.004289999999855354,1.0,0.003847619465710439
13,39.0,0.0021440000000438886,1.0,1.0004106296752795
14,118.0,0.006354000000101223,1.0,0.3508432698213103
15,339.0,0.018051999999897816,1.0,0.43694917858987925
16,193.0,0.010375999999723717,1.0,0.043694917858987936
17,32.0,0.0017869999996946717,1.0,0.004369491785898738
18,500.0,0.02690100000017992,0.0,0.0025361127349799433
19,324.0,0.017730999999912456,1.0,0.4683348069502181
20,153.0,0.008244000000104279,1.0,0.3593525664051842
21,237.0,0.012858999999934895,1.0,0.6753598334978934
22,212.0,0.011324000000058732,1.0,0.802773096685687
23,185.0,0.009881999999834079,1.0,0.08027730966856872
24,60.0,0.003271000000040658,1.0,0.7678870130334372
25,33.0,0.0018380000001343433,1.0,0.37245600920307476
26,53.0,0.0028859999997621344,1.0,0.37648442850601105
27,104.0,0.005607000000054541,1.0,0.03724560092030749
28,56.0,0.0030329999999594293,1.0,0.0037245600920307043
29,128.0,0.006913999999596854,1.0,0.5724213056507133
30,119.0,0.006404000000202359,1.0,0.33060520319373443
31,37.0,0.0020389999999679276,1.0,0.4173201746619707
32,89.0,0.004811000000245258,1.0,0.3731716229208678
33,77.0,0.00417299999980969,1.0,0.42015415293262415
34,139.0,0.0074789999998756684,1.0,0.5113167384766956
35,154.0,0.008495000000039,1.0,0.6170896929029616
36,70.0,0.0037950000000819273,1.0,0.6657014785025892
37,114.0,0.006234999999833235,1.0,0.06657014785025894
38,52.0,0.0028319999996710976,1.0,0.3535531981277007
39,123.0,0.006698000000142201,1.0,0.7266598615993609
40,205.0,0.010966000000280474,1.0,0.7266801683108446
41,87.0,0.004702000000179396,1.0,0.5318861932334802
42,74.0,0.004004999999779102,1.0,0.05318861932334795
43,58.0,0.0031400000002577144,1.0,0.07266801683108448
44,352.0,0.019042999999783206,1.0,0.42032088449617766
45,182.0,0.009724000000005617,1.0,0.7459982043632273
46,128.0,0.006864999999834254,1.0,0.07459982043632274
47,314.0,0.01675199999999677,1.0,0.7457098763496547
48,374.0,0.01993399999992107,1.0,0.7674591829596512
49,162.0,0.008663000000069587,1.0,0.8188302587685878
50,111.0,0.005965000000287546,1.0,0.5199417116575848
51,139.0,0.0074100000001635635,1.0,0.05199417116575855
52,58.0,0.0031100000001060835,1.0,0.0051994171165758996
53,81.0,0.0043350000000828,1.0,0.6156672106548589
54,72.0,0.0038669999999001448,1.0,0.061566721065485885
55,116.0,0.006187999999838212,1.0,0.0061566721065485774
56,67.0,0.0037229999998089625,1.0,0.23217286646610202
57,209.0,0.011105999999927008,1.0,0.023217286646610158
58,185.0,0.010480999999799678,1.0,0.18064865699507293
59,500.0,0.02661100000022998,0.0,0.023456832276684367
60,160.0,0.008529000000180531,1.0,0.8241033313571006
61,76.0,0.0040520000002288725,1.0,0.7795220232107212
62,101.0,0.005375000000185537,1.0,0.8657921643076097
63,112.0,0.0072909999998955755,1.0,0.3860775991138953
64,273.0,0.014756000000033964,1.0,0.8916643417735126
65,119.0,0.0062940000002527086,1.0,0.25326028590776417
66,55.0,0.0029389999999693828,1.0,0.025326028590776373
67,240.0,0.012744999999995343,1.0,0.899763496419345
68,139.0,0.007305999999971391,1.0,0.0025326028590776373
69,258.0,0.013523999999961234,1.0,0.08997634964193446
70,70.0,0.003828999999768712,1.0,0.18752187055297476
71,38.0,0.002054000000043743,1.0,0.8963383147251158
72,19.0,0.0010600000000522414,1.0,0.08963383147251158
73,27.0,0.001483999999891239,1.0,0.59828557693136
74,213.0,0.01117999999996755,1.0,0.008963383147251203
75,42.0,0.002264000000195665,1.0,0.4494846440146477
76,78.0,0.004152999999860185,1.0,0.05982855769313611
77,93.0,0.0049399999998058775,1.0,0.04494846440146483
78,68.0,0.0037169999995967373,1.0,0.34819977511844036
79,36.0,0.0019659999998111743,1.0,0.370892896785755
80,62.0,0.0033269999998992716,1.0,0.0370892896785755
81,116.0,0.0061449999998330895,1.0,0.003708928967857572
82,70.0,0.003741999999874679,1.0,0.0003708928967858238
83,129.0,0.006855999999970663,1.0,3.708928967860459e-05
84,142.0,0.00757900000007794,1.0,0.6447462541122505
85,99.0,0.005288999999720545,1.0,0.03481997751184407
86,64.0,0.003452999999808526,1.0,0.6730512877828483
87,53.0,0.0028640000000450527,1.0,0.578746077198203
88,323.0,0.01713500000005297,1.0,0.9277281173083871
89,78.0,0.0041639999999461,1.0,0.09277281173083862
90,64.0,0.0034179999997832056,1.0,0.009277281173083907
91,338.0,0.01801099999966027,1.0,0.9013070559600813
92,74.0,0.0039480000000367,1.0,0.09013070559600811
93,198.0,0.010442000000239204,1.0,0.9479200330877869
94,97.0,0.005125000000134605,1.0,0.9589828885602355
95,150.0,0.0079000000000633,1.0,0.5370229337951593
96,22.0,0.0012139999998908024,1.0,0.05370229337951593
97,141.0,0.007443999999850348,1.0,0.45522473230214877
98,96.0,0.005090000000109285,1.0,0.3848215391119192
99,156.0,0.008211999999730324,1.0,0.9260564276296177
100,97.0,0.005144000000200322,1.0,0.4370902865539321
101,22.0,0.0012120000001232256,1.0,0.04370902865539317
102,36.0,0.0019399999996494444,1.0,0.004370902865539317
103,86.0,0.004552999999759777,1.0,0.4771551558743985
104,19.0,0.0010569999999461288,1.0,0.0004370902865540316
105,69.0,0.0039819999997234845,1.0,0.36117963963519384
106,93.0,0.004926999999952386,1.0,0.40427713875332616
107,107.0,0.005817999999635504,1.0,0.21329453526010878
108,252.0,0.013260000000173022,1.0,0.7659031950179578
109,64.0,0.003443000000061147,1.0,0.07659031950179562
110,80.0,0.0042749999997795385,1.0,0.36689799107248744
111,88.0,0.004652999999962049,1.0,0.40173827863173606
112,183.0,0.00966100000005099,1.0,0.719988903936937
113,67.0,0.0035629999997581763,1.0,0.07199889039369367
114,153.0,0.008267000000159896,1.0,0.9589644621325798
115,158.0,0.008409999999912543,1.0,0.09589644621325799
116,367.0,0.019372000000203116,1.0,0.8632468341401601
117,163.0,0.008605999999872438,1.0,0.9344539067085411
