episode,length,time,reward,delta
0,93.0,0.005288000000007287,1.0,1.0002198356818621
1,123.0,0.00766699999999787,1.0,0.9093865245087474
2,237.0,0.012582000000008975,1.0,1.0004816895716364
3,193.0,0.010356000000001586,1.0,1.000449301260924
4,146.0,0.008594999999985475,1.0,1.0005177208735834
5,82.0,0.0043780000000026575,1.0,0.9004659487862251
6,117.0,0.00625999999999749,1.0,0.8322219775873523
7,69.0,0.0038210000000162836,1.0,0.9069728918717461
8,221.0,0.011738000000008242,1.0,0.8022980807347239
9,174.0,0.00938899999999876,1.0,0.7248554245779629
10,80.0,0.00429300000001831,1.0,0.6523698821201667
11,39.0,0.002131000000019867,1.0,0.8387148901206446
12,205.0,0.010930999999999358,1.0,0.5871328939081499
13,206.0,0.011025000000017826,1.0,0.6201838144190344
14,98.0,0.00522000000000844,1.0,0.6123424439230476
15,143.0,0.00781500000002211,1.0,0.6416518703365522
16,117.0,0.006241999999986092,1.0,0.787618721389571
17,431.0,0.02264900000000125,1.0,0.7219864503570603
18,40.0,0.002202999999980193,1.0,0.577486683302897
19,189.0,0.010057999999986578,1.0,0.5197380149726073
20,56.0,0.0030190000000231976,1.0,0.6691852976627173
21,73.0,0.003909000000021479,1.0,0.9378917703505533
22,198.0,0.010675999999989472,1.0,0.6062519348608051
23,94.0,0.0050919999999905485,1.0,0.5120516747290897
24,361.0,0.019380000000012387,1.0,0.8689002703430371
25,52.0,0.002830999999986261,1.0,0.5314467056968805
26,172.0,0.00918500000000222,1.0,0.4783020351271924
27,61.0,0.0033029999999882875,1.0,0.43617494794165235
28,150.0,0.008298999999993839,1.0,0.8973802469840981
29,33.0,0.0018179999999858865,1.0,0.4267104881879169
30,100.0,0.00536099999999351,1.0,0.5863596339943768
31,65.0,0.0035110000000031505,1.0,0.40235735365455927
32,102.0,0.005446000000006279,1.0,0.5578326271096647
33,51.0,0.0027599999999949887,1.0,0.7896582017599374
34,133.0,0.007212000000009766,1.0,0.5070367053980352
35,61.0,0.003604999999993197,1.0,0.46177753915297337
36,35.0,0.0019300000000157524,1.0,0.844102593315498
37,84.0,0.004542000000014923,1.0,0.41559978523767604
38,144.0,0.007860999999991236,1.0,0.4093438227305255
39,77.0,0.0042059999999821684,1.0,0.4418229492499356
40,50.0,0.002707000000015114,1.0,0.4155545989249734
41,278.0,0.014825000000001864,1.0,0.3684094404574729
42,59.0,0.0032199999999988904,1.0,0.34488587427334694
43,140.0,0.0076420000000041455,1.0,0.37814994023513415
44,42.0,0.0025689999999940483,1.0,0.7596923339839482
45,140.0,0.007445000000018354,1.0,0.3862258751748652
46,231.0,0.013083999999992102,1.0,0.4250831393437793
47,52.0,0.0028379999999970096,1.0,0.38257482540940135
48,190.0,0.01038099999999531,1.0,0.35738101868559335
49,105.0,0.005788999999992939,1.0,0.3628346040618815
50,118.0,0.0062680000000057134,1.0,0.3332934668624604
51,35.0,0.0018979999999828578,1.0,0.9653117147164422
52,89.0,0.004717999999996891,1.0,0.4617655952259714
53,254.0,0.013381000000009635,1.0,0.44438630628252007
54,107.0,0.005647000000010394,1.0,0.3416911022107464
55,72.0,0.003932000000020253,1.0,0.314454606713099
56,58.0,0.0036389999999926204,1.0,0.33362088196330975
57,42.0,0.0022419999999954143,1.0,0.3002587937669787
58,195.0,0.0101139999999873,1.0,0.34416466837039317
59,45.0,0.0023810000000139553,1.0,0.43372549405734084
60,186.0,0.010064999999997326,1.0,0.8687805432447979
61,68.0,0.003650999999990745,1.0,0.3964572498484146
62,58.0,0.003117000000003145,1.0,0.3632512442582614
63,64.0,0.00343499999999608,1.0,0.3858108776660202
64,124.0,0.006554000000022597,1.0,0.3826939451650996
65,160.0,0.008445999999992182,1.0,0.37883277438231444
66,28.0,0.001536000000015747,1.0,0.34094949694408294
67,84.0,0.004475999999982605,1.0,0.3807717537996568
68,92.0,0.004953000000000429,1.0,0.30685454724967465
69,55.0,0.0029559999999833053,1.0,0.3426945784196911
70,156.0,0.008253999999993766,1.0,0.2761690925247072
71,91.0,0.004843999999991411,1.0,0.2485521832722365
72,32.0,0.0017499999999870397,1.0,0.2314678299388867
73,34.0,0.001856999999972686,1.0,0.2083210469449981
74,52.0,0.00281200000000581,1.0,0.3153487040152687
75,77.0,0.0041099999999971715,1.0,0.3084180858777722
76,205.0,0.011506999999994605,1.0,0.27486673172831766
77,177.0,0.009713000000004968,1.0,0.24738005855548595
78,63.0,0.003384000000011156,1.0,0.25464299359129117
79,71.0,0.003797999999989088,1.0,0.2757958309507359
80,86.0,0.004710999999986143,1.0,0.24821624785566232
81,127.0,0.006891999999993459,1.0,0.22339462307009605
82,19.0,0.0010580000000004475,1.0,0.2010551607630865
83,98.0,0.005325999999996611,1.0,0.23172024777547817
84,88.0,0.004671999999999343,1.0,0.3426874679367018
85,77.0,0.004497999999983904,1.0,0.35262540819795163
86,111.0,0.006059000000021797,1.0,0.32419707334769887
87,69.0,0.003712000000007265,1.0,0.33626920717091835
88,49.0,0.0026400000000137425,1.0,0.6837231005855533
89,93.0,0.0049550000000238015,1.0,0.34822535791832065
90,37.0,0.0020150000000001,1.0,0.36355791516809777
91,26.0,0.0014379999999789561,1.0,0.3455623431849496
92,93.0,0.004949000000010528,1.0,0.31100610886645463
93,70.0,0.00372600000000034,1.0,0.327202123651288
94,68.0,0.003640999999987571,1.0,0.4152238872346381
95,70.0,0.003748000000001639,1.0,0.39850153897678375
96,136.0,0.007237000000003491,1.0,0.39973184986957677
97,202.0,0.011097000000006574,1.0,0.36616891287711684
98,182.0,0.009748000000001866,1.0,0.3295520215894051
99,47.0,0.0025750000000073214,1.0,0.29659681943046456
100,98.0,0.005263999999982616,1.0,0.36429108885623895
101,41.0,0.0022390000000029886,1.0,0.3568388310468894
102,84.0,0.004509000000012975,1.0,0.32115494794220045
103,44.0,0.0023920000000146047,1.0,0.4672135478991776
104,44.0,0.002392999999983658,1.0,0.4262951058214911
105,67.0,0.0035980000000108703,1.0,0.38366559523934196
106,29.0,0.001808000000011134,1.0,0.3820327864131281
107,48.0,0.0026159999999890715,1.0,0.3438295077718153
108,95.0,0.005088999999998123,1.0,0.34336752844557084
109,43.0,0.0023439999999936845,1.0,0.3409981234718136
110,77.0,0.004141000000004169,1.0,0.3068983111246322
111,43.0,0.0023500000000069576,1.0,0.2762084800121689
112,70.0,0.0037639999999896645,1.0,0.37391678642288984
113,79.0,0.004250999999982241,1.0,0.34974384907598155
114,32.0,0.0017550000000028376,1.0,0.24858763201095202
115,38.0,0.0020759999999881984,1.0,0.25742113627504326
116,62.0,0.0033510000000092077,1.0,0.23167902264753892
117,32.0,0.0017680000000268592,1.0,0.3467352220664811
118,166.0,0.008869999999973288,1.0,0.3392219347798885
119,76.0,0.0040869999999983975,1.0,0.3427518155825354
120,78.0,0.004187999999999192,1.0,0.30847663402428194
121,45.0,0.0025709999999889988,1.0,0.31879674562838833
122,79.0,0.004260000000016362,1.0,0.34390059185575783
123,121.0,0.006606000000004997,1.0,0.3218886131769787
124,31.0,0.0018629999999859592,1.0,0.309510532670182
125,34.0,0.0021050000000002456,1.0,0.2896997518592809
126,32.0,0.0017820000000199343,1.0,0.27855947940316383
127,102.0,0.005587999999988824,1.0,0.2754568450577676
128,34.0,0.0018729999999891334,1.0,0.2479111605519908
129,63.0,0.003424999999992906,1.0,0.2537630861153596
130,36.0,0.001978000000008251,1.0,0.2507035314628474
131,101.0,0.005416999999994232,1.0,0.2256331783165627
132,63.0,0.003398000000004231,1.0,0.4436197996130854
133,63.0,0.003392999999988433,1.0,0.43341769542680586
134,93.0,0.005002000000018825,1.0,0.43619467294705727
135,43.0,0.0024459999999919546,1.0,0.3925752056523515
136,47.0,0.002554000000003498,1.0,0.23521260278118783
137,64.0,0.003457999999994854,1.0,0.2116913425030691
138,131.0,0.0074299999999993815,1.0,0.4121828241728641
139,247.0,0.013177000000013095,1.0,0.42843421831587125
140,28.0,0.0015509999999778756,1.0,0.3855907964842842
141,35.0,0.0019520000000170512,1.0,0.711708107806732
142,148.0,0.00788399999999001,1.0,0.37378671975090005
143,90.0,0.004846000000014783,1.0,0.22435414066081583
144,84.0,0.004622999999980948,1.0,0.34305180194137586
145,84.0,0.004618999999991047,1.0,0.2019187265947342
146,99.0,0.00530700000001616,1.0,0.33551522093816144
147,47.0,0.002551000000011072,1.0,0.3089518964992257
148,58.0,0.0031329999999911706,1.0,0.21532150482793955
149,63.0,0.00339400000001433,1.0,0.27805670684930317
150,159.0,0.00846599999999853,1.0,0.22464661433955324
151,130.0,0.006930000000011205,1.0,0.23406104654104642
152,44.0,0.002391999999986183,1.0,0.2854902692303386
153,48.0,0.002612999999996646,1.0,0.29836588367977745
154,53.0,0.0028560000000084074,1.0,0.2685292953117997
155,42.0,0.0022720000000049367,1.0,0.30016035319256285
156,185.0,0.009802000000007638,1.0,0.35380254639811914
157,43.0,0.0023209999999949105,1.0,0.32524590348404814
158,48.0,0.00258200000001807,1.0,0.29980193464761085
159,61.0,0.0032520000000033633,1.0,0.2771313584143452
160,26.0,0.0014339999999890551,1.0,0.24941822257291069
161,96.0,0.005101999999993723,1.0,0.22447640031561966
162,65.0,0.003480999999993628,1.0,0.2471076423204811
163,34.0,0.0018489999999928841,1.0,0.2558860957600917
164,97.0,0.005194999999986294,1.0,0.23800234596556558
165,31.0,0.001708999999976868,1.0,0.3535905990191055
166,87.0,0.004631000000017593,1.0,0.21420211136900902
167,111.0,0.0066470000000151686,1.0,0.2407353455247614
168,76.0,0.004091999999985774,1.0,0.2166618109722852
169,46.0,0.0024909999999920274,1.0,0.1949956298750567
170,84.0,0.004484999999988304,1.0,0.3643077139538051
171,63.0,0.003410999999999831,1.0,0.2193092391092134
172,101.0,0.005425000000002456,1.0,0.20541236668963303
173,33.0,0.001815999999990936,1.0,0.3446542576258036
174,60.0,0.0032479999999850406,1.0,0.18487113002066968
175,74.0,0.004153999999999769,1.0,0.3101888318632232
176,123.0,0.006568000000015672,1.0,0.2756871851653293
177,53.0,0.002868000000006532,1.0,0.3941825715763868
178,28.0,0.001543999999995549,1.0,0.3547643144187481
179,79.0,0.00424699999999234,1.0,0.3266932471907621
180,57.0,0.0030720000000030723,1.0,0.3246858546429324
181,95.0,0.005075000000005048,1.0,0.3158601259531165
182,85.0,0.0045619999999928496,1.0,0.28427411335780484
183,68.0,0.0036680000000046675,1.0,0.2558467020220243
184,54.0,0.002904999999998381,1.0,0.3443806249868142
185,22.0,0.0012199999999893407,1.0,0.3373699047244161
186,107.0,0.0057110000000193395,1.0,0.2598905291555461
187,40.0,0.002184999999997217,1.0,0.3578763693947471
188,93.0,0.004997000000003027,1.0,0.34857510251911794
189,46.0,0.0025070000000084747,1.0,0.32058825098785804
190,59.0,0.0033280000000104337,1.0,0.2831067075496324
191,57.0,0.0037629999999921893,1.0,0.31722714919123696
192,49.0,0.0033949999999833835,1.0,0.2903658834272065
193,62.0,0.003910999999988007,1.0,0.3249011151437483
194,138.0,0.008634000000000697,1.0,0.2613292950844859
195,99.0,0.005772000000007438,1.0,0.3814437247406417
196,33.0,0.0018709999999941829,1.0,0.2351963655760373
197,203.0,0.011117000000012922,1.0,0.3975084162153516
198,56.0,0.004435000000000855,1.0,0.30626098331015406
199,108.0,0.006115999999991573,1.0,0.386746765340647
200,132.0,0.007228999999995267,1.0,0.34807208880658225
201,43.0,0.0023690000000158307,1.0,0.3338806041616853
202,54.0,0.0029180000000224027,1.0,0.38049187520618466
203,34.0,0.0022620000000017626,1.0,0.32014006576998866
204,83.0,0.004562000000021271,1.0,0.36191977521530894
205,32.0,0.0017490000000179862,1.0,0.3424426876855662
206,103.0,0.005531999999988102,1.0,0.454016204326394
207,83.0,0.004415999999991982,1.0,0.6944058529528592
208,176.0,0.009278000000023212,1.0,0.414536272698141
209,40.0,0.002246000000013737,1.0,0.3917259874505966
210,96.0,0.005119000000007645,1.0,0.40207619793979166
211,140.0,0.007519999999999527,1.0,0.4648247065900941
212,193.0,0.010412999999999784,1.0,0.42416664821509775
213,121.0,0.0064199999999914326,1.0,0.3940687496642702
214,38.0,0.0020540000000153213,1.0,0.35466187469784316
215,68.0,0.003666000000009717,1.0,0.36082711183551575
216,117.0,0.006209000000012566,1.0,0.36962899818872985
217,99.0,0.006154000000009319,1.0,0.3393472720294822
218,29.0,0.00160900000000197,1.0,0.3397939767025171
219,132.0,0.00704600000000255,1.0,0.3058145790322654
220,85.0,0.004597999999987223,1.0,0.4147552986574815
221,176.0,0.009381000000018958,1.0,0.3099898586264227
222,65.0,0.0035120000000006257,1.0,0.27899087276378043
223,171.0,0.009104000000007773,1.0,0.4472783147729792
224,113.0,0.006030999999978803,1.0,0.4085328131060484
225,33.0,0.0018139999999959855,1.0,0.2585887022758523
226,113.0,0.006281000000001313,1.0,0.29840598693632414
227,37.0,0.0020199999999874763,1.0,0.2685653882426917
228,114.0,0.007782000000020162,1.0,0.2492995955675622
229,36.0,0.002093000000002121,1.0,0.22436963601080595
230,79.0,0.00462500000000432,1.0,0.20992118032895202
231,130.0,0.007159999999998945,1.0,0.45943267539123633
232,87.0,0.004930000000001655,1.0,0.43078307767882273
233,89.0,0.004748000000006414,1.0,0.4435454354948669
234,56.0,0.003021000000018148,1.0,0.3805382330049977
235,40.0,0.002177000000017415,1.0,0.42446753983930663
236,79.0,0.004242000000004964,1.0,0.3820207858553759
237,53.0,0.00286599999998316,1.0,0.34906740025077687
238,19.0,0.0010640000000137206,1.0,0.3952262239972504
239,53.0,0.0028520000000185064,1.0,0.3871955828543965
240,47.0,0.0025379999999870506,1.0,0.385706196220879
241,45.0,0.0024489999999843803,1.0,0.3141606602256992
242,38.0,0.002289999999987913,1.0,0.34713557659879113
243,68.0,0.003635999999971773,1.0,0.31242201893891197
244,121.0,0.006414000000006581,1.0,0.2899249829044219
245,150.0,0.009098999999991975,1.0,0.3252899872576651
246,99.0,0.005618999999995822,1.0,0.35299137705879136
247,199.0,0.010562000000021499,1.0,0.31769223935291224
248,19.0,0.0010540000000105465,1.0,0.2927609885318986
249,35.0,0.0018640000000118562,1.0,0.285923015417621
250,62.0,0.0032329999999944903,1.0,0.26348488967870876
251,102.0,0.005540999999993801,1.0,0.25233297727690673
252,59.0,0.003093000000006896,1.0,0.2348365173970478
253,89.0,0.004649999999998045,1.0,0.26217852909193007
254,46.0,0.0024229999999931806,1.0,0.3346978176549269
255,62.0,0.0033619999999814354,1.0,0.3820551352121415
256,31.0,0.001658999999989419,1.0,0.23596067618273708
257,46.0,0.002439000000009628,1.0,0.28329537668939997
258,19.0,0.0010420000000124219,1.0,0.25496583902046
259,78.0,0.004118000000005395,1.0,0.23718239721055379
260,83.0,0.004336000000023432,1.0,0.3877316692614652
261,56.0,0.0029250000000047294,1.0,0.34895850233531867
262,52.0,0.0027269999999930405,1.0,0.25878373671397836
263,28.0,0.0014879999999948268,1.0,0.24058414405547868
264,209.0,0.010736000000008517,1.0,0.31406265210178685
265,149.0,0.007727999999985968,1.0,0.21652572964993078
266,91.0,0.004704000000003816,1.0,0.19487315668493765
267,44.0,0.0024729999999806296,1.0,0.17538584101644394
268,98.0,0.005073000000010097,1.0,0.2026293125906684
269,71.0,0.00372600000000034,1.0,0.35355220123173237
270,58.0,0.003038000000003649,1.0,0.272635499640149
271,40.0,0.002112000000010994,1.0,0.2803057607945013
272,117.0,0.006150999999988471,1.0,0.28291886747181416
273,219.0,0.011261999999987893,1.0,0.33564431352123436
274,61.0,0.0031930000000102154,1.0,0.25462698072463275
275,177.0,0.009157999999985122,1.0,0.30207988216911097
276,37.0,0.0019509999999911543,1.0,0.28270554136325254
277,30.0,0.0016019999999912216,1.0,0.28491621078120977
278,23.0,0.0014590000000112013,1.0,0.2638681784493818
279,29.0,0.0015699999999867487,1.0,0.29375764763627144
280,83.0,0.004462999999987005,1.0,0.2643818828726443
281,35.0,0.0018909999999721094,1.0,0.2379436945853799
282,165.0,0.008633000000003221,1.0,0.32839170932082984
283,53.0,0.002834999999976162,1.0,0.25042808657938076
