episode,length,time,reward,delta
0,42.0,0.003499000000005026,0.0,-0.0005454469730754448
1,11.0,0.000683000000009315,0.0,-0.00046570114734553866
2,29.0,0.0017279999999999518,0.0,-0.0005446470554085534
3,9.0,0.0008949999999998681,0.0,-0.00044105164862441126
4,19.0,0.0011520000000047048,0.0,-0.00041913103261098476
5,19.0,0.0012280000000117752,0.0,-0.00014217711978442056
6,35.0,0.0020020000000045,0.0,-0.0007219561646760415
7,17.0,0.0010059999999896263,0.0,-0.00036443643213272174
8,17.0,0.001070000000012783,0.0,-0.0005756303628879389
9,57.0,0.003410999999999831,0.0,-0.0009181109487033752
10,33.0,0.0018829999999923075,0.0,-0.0005180673265991451
11,14.0,0.000842999999989047,0.0,-0.00036822833188637294
12,29.0,0.0016569999999944685,0.0,-0.00037721792934988633
13,90.0,0.0051289999999966085,0.0,-0.00015853033565652676
14,43.0,0.003669999999999618,0.0,-0.0003394961364148977
15,8.0,0.00070999999999799,0.0,-0.00039120984034977675
16,15.0,0.0010259999999959746,0.0,-0.0003152100154162679
17,14.0,0.0009620000000012396,0.0,-0.00027829508389397653
18,35.0,0.0020070000000060872,0.0,-0.00039694648376197017
19,10.0,0.0006389999999925067,0.0,-0.0003520888563147991
20,12.0,0.0007370000000008758,0.0,-0.0002732889776715452
21,28.0,0.0021919999999937545,0.0,-0.00026856544371605523
22,22.0,0.0014129999999994425,0.0,-0.0004976885039424734
23,13.0,0.0007990000000006603,0.0,-0.00026893807708181405
24,11.0,0.0011170000000078062,0.0,-0.00045014219767168084
25,29.0,0.0017919999999946867,0.0,-0.00021664611252567004
26,14.0,0.0009590000000088139,0.0,-0.00031687997068331915
27,66.0,0.0037219999999962283,0.0,-0.00020061108449653657
28,16.0,0.0010949999999922966,0.0,-0.0002851919736149873
29,52.0,0.003056000000000836,0.0,-0.0006281164934114662
30,22.0,0.0013579999999961956,0.0,-0.0006871927228055792
31,9.0,0.0008370000000041955,0.0,-0.00024596007990439065
32,10.0,0.0008430000000032578,0.0,-0.0002052639737419268
33,12.0,0.0008370000000041955,0.0,-0.0002979841471115027
34,18.0,0.0011190000000027567,0.0,-0.000533234581040841
35,6.0,0.0005589999999955353,0.0,-0.00018473757636773411
36,25.0,0.00171100000000024,0.0,-0.00024204426937363263
37,20.0,0.0012720000000001619,0.0,-0.00019073201368226522
38,35.0,0.0021729999999990923,0.0,-0.00017054901710290263
39,15.0,0.000996000000000663,0.0,-0.00028825339348688975
40,33.0,0.002308999999996786,0.0,-9.166727525572365e-05
41,63.0,0.004020999999994501,0.0,-0.0005660216587042532
42,32.0,0.0019450000000063028,0.0,-0.00016348451283484047
43,31.0,0.002346000000002846,0.0,-0.00048114493695105025
44,17.0,0.0010570000000029722,0.0,-0.0005023689119643897
45,8.0,0.0005160000000046239,0.0,-0.00018773863285354183
46,69.0,0.004624000000006845,0.0,-0.0002201295572707428
47,31.0,0.0019989999999978636,0.0,-0.00014189424964388162
48,19.0,0.0012649999999894135,0.0,-0.00015349411539261235
49,9.0,0.0005979999999965457,0.0,-0.00016896476956818762
