episode,length,time,reward,delta
0,25.0,0.002597000000037042,0.0,-0.0004887932821464565
1,9.0,0.000747999999930471,0.0,-0.0002777198005709891
2,37.0,0.002439000000094893,0.0,-0.00040831225979308687
3,15.0,0.0009310000000368746,0.0,0.0003804225709032966
4,32.0,0.00199499999996533,0.0,-0.00032457958057368437
5,20.0,0.0015409999999747015,0.0,-0.00016289954609469137
6,12.0,0.0008420000000342043,0.0,-7.1545967200932524e-06
7,31.0,0.001776999999947293,0.0,-8.716893019182666e-06
8,4.0,0.0002899999999499414,0.0,-3.5772983600466804e-06
9,12.0,0.0010310000000117725,0.0,-0.00022970468322609816
10,76.0,0.005519999999933134,0.0,0.00029836510994041244
11,36.0,0.0020850000000791624,0.0,-8.144977304734569e-05
12,28.0,0.002104000000031192,0.0,0.0001903906341717992
13,17.0,0.0012320000000727305,0.0,-0.00013885990028549456
14,20.0,0.0011849999999640204,0.0,-0.00014399263143344667
15,18.0,0.001393000000007305,0.0,0.00017121046919859435
16,16.0,0.0013650000000779983,0.0,8.560523459929717e-05
17,26.0,0.0024409999999761567,0.0,0.00020976852271895188
18,23.0,0.0015939999999545762,0.0,-7.283529215204251e-05
19,12.0,0.000749000000041633,0.0,-3.641764607602131e-05
20,147.0,0.0111859999999524,0.0,3.009123208512173e-05
21,11.0,0.0013599999999769352,0.0,0.0002422644708059455
22,6.0,0.00047400000005382026,0.0,0.00012113223540297275
23,43.0,0.004282999999986714,0.0,0.00024908168096138804
24,12.0,0.0012269999999716674,0.0,-2.550385250097006e-05
25,28.0,0.0020759999999881984,0.0,0.00025912320107486123
26,60.0,0.004365000000007058,0.0,0.00022028457119926942
27,9.0,0.0008500000000140062,0.0,0.00011014228559963468
28,13.0,0.0008330000000569271,0.0,0.0002931303428623561
29,34.0,0.0021379999999453503,0.0,-1.820882303801071e-05
30,15.0,0.0011839999999665451,0.0,-1.275192625048503e-05
31,4.0,0.00051399999995283,0.0,0.00014656517143117804
32,17.0,0.001619000000005144,0.0,0.00025258006770620975
33,13.0,0.001029000000016822,0.0,0.00015021699731875297
34,36.0,0.0024270000000115033,0.0,-0.00020286942675681212
35,47.0,0.0036360000000286163,0.0,7.510849865937654e-05
36,17.0,0.0010019999999713036,0.0,0.0003468351071830857
37,15.0,0.0008850000000393266,0.0,-2.9021437420900017e-06
38,24.0,0.0014290000000301006,0.0,0.00033693009768937036
39,30.0,0.002004000000056294,0.0,-4.358446509591333e-06
40,21.0,0.0013059999999995853,0.0,-2.1792232547956664e-06
41,32.0,0.001820000000066102,0.0,0.00024209895218290462
42,11.0,0.0006700000000137152,0.0,0.00028672211339047463
43,10.0,0.0007709999999860884,0.0,0.00014336105669523732
44,55.0,0.004309000000034757,0.0,-8.265435083686231e-06
45,21.0,0.0012490000000298096,0.0,0.00012104947609145231
46,28.0,0.0017569999999977881,0.0,-1.0896116273978332e-06
47,20.0,0.0015449999999646025,0.0,0.00028307497753549555
48,8.0,0.000597999999968124,0.0,0.00029769297238956243
49,14.0,0.0008510000000114815,0.0,0.00014884648619478116
50,10.0,0.0006540000000541113,0.0,0.0003108865375272333
51,14.0,0.0008409999999230422,0.0,7.442324309739058e-05
52,11.0,0.0006759999999985666,0.0,-6.375963125242515e-06
53,8.0,0.0006009999999605498,0.0,0.00015544326876361662
54,8.0,0.0008269999999583888,0.0,7.772163438180831e-05
55,16.0,0.0014750000000276486,0.0,0.0001889210685140357
56,27.0,0.0017039999999042266,0.0,-0.00026450414859446577
57,29.0,0.0017080000000078144,0.0,0.0003599083652403174
58,27.0,0.0015690000000176951,0.0,0.00038749102039615753
59,7.0,0.0005439999999907741,0.0,0.00017995418262015876
60,30.0,0.0019559999999501088,0.0,8.997709131007938e-05
61,4.0,0.0002960000000484797,0.0,4.498854565503969e-05
62,22.0,0.0013920000000098298,0.0,0.00036083851290298873
63,23.0,0.0014620000000604705,0.0,0.00016285072819279954
64,11.0,0.0007700000001023,0.0,0.00029490047069837276
65,13.0,0.0010969999999588254,0.0,0.0002940273279538253
66,4.0,0.0003070000000207074,0.0,0.0001804192564514944
67,19.0,0.001145999999948799,0.0,0.00019348290932961906
68,10.0,0.0006350000001020817,0.0,0.00012628884295405986
69,14.0,0.000853000000006432,0.0,0.00030927140307868416
70,34.0,0.001975000000015825,0.0,0.00011970747602223209
71,5.0,0.00040799999999308056,0.0,0.00024936652216663523
72,10.0,0.0007809999999608408,0.0,6.314442147702993e-05
73,14.0,0.0008820000000469008,0.0,-8.898584515713989e-05
74,5.0,0.0003600000000005821,0.0,0.00026780499494805305
75,7.0,0.0004689999999527572,0.0,0.00012468326108331762
76,6.0,0.00041400000009161886,0.0,6.234163054165881e-05
77,5.0,0.0003609999999980573,0.0,3.117081527082943e-05
78,15.0,0.0009309999999231877,0.0,0.0003030508912696477
79,112.0,0.006653000000028442,0.0,0.00023980834052834363
80,33.0,0.001932000000010703,0.0,0.0003533173841950596
81,20.0,0.0014950000000908403,0.0,-0.00026729938019569397
82,11.0,0.0007239999999910651,0.0,0.00021449561251846633
83,24.0,0.0014449999999897045,0.0,1.5585407635414716e-05
