steps,time,reward,delta,converged
1,0.029136999999536783,0.0,0,False
2,0.029556999999840627,0.0,0,False
3,0.028853000000708562,0.0,0,False
4,0.02929500000027474,0.0,0,False
5,0.028305999999247433,0.0,0,False
6,0.028460000000450236,0.0,0,False
7,0.028974000000744127,0.0,0,False
8,0.02955299999939598,0.0,0,False
9,0.02901099999962753,0.0,0,False
10,0.029773000000204775,0.0,0,False
11,0.029094999999870197,0.0,0,False
12,0.028655000000071595,0.0,0,False
13,0.028836999999839463,0.0,0,False
14,0.029628000000229804,0.0,0,False
15,0.02790999999979249,0.0,0,False
16,0.02875099999982922,0.0,0,False
17,0.02867599999990489,0.0,0,False
18,0.027803999999377993,0.0,0,False
19,0.02843899999970745,0.0,0,False
20,0.02775500000007014,0.0,0,False
21,0.027634999999463616,0.0,0,False
22,0.027518000000782195,0.0,0,False
23,0.02838699999938399,0.0,0,False
24,0.027871999999661057,0.0,0,False
25,0.027908999999453954,0.0,0,False
26,0.02977400000054331,0.0,0,False
27,0.029620999999679043,0.0,0,False
28,0.02960999999959313,0.0,0,False
29,0.029032999999799358,0.0,0,False
30,0.028419999999641732,0.0,0,False
31,0.029306000000360655,0.0,0,False
32,0.029188999999860243,0.0,0,False
33,0.029138000000784814,0.0,0,False
34,0.02788700000019162,0.0,0,False
35,0.028720999999677588,0.0,0,False
36,0.03044399999998859,0.0,0,False
37,0.028444999999919673,0.0,0,False
38,0.030539000000317174,0.0,0,False
39,0.02912300000025425,0.0,0,False
40,0.028535999999803607,0.0,0,False
41,0.02847399999973277,0.0,0,False
42,0.03314100000079634,0.0,0,False
43,0.03106000000025233,0.0,0,False
44,0.030654999999569554,0.0,0,False
45,0.029229999999188294,0.0,0,False
46,0.03348999999980151,0.0,0,False
47,0.03042100000038772,0.0,0,False
48,0.03168900000036956,0.0,0,False
49,0.028123000000050524,0.0,0,False
50,0.026789999999891734,0.0,0,False
51,0.026817999999366293,0.0,0,False
52,0.027163999999174848,0.0,0,False
53,0.028725000000122236,0.0,0,False
54,0.028408000000126776,0.0,0,False
55,0.03018900000006397,0.0,0,False
56,0.027379000000109954,0.0,0,False
57,0.02692899999965448,0.0,0,False
58,0.027980000000752625,0.0,0,False
59,0.028438000000278407,0.0,0,False
60,0.027916000000004715,0.0,0,False
61,0.027124999999614374,0.0,0,False
62,0.027716000000509666,0.0,0,False
63,0.028240000000550936,0.0,0,False
64,0.026979000000210362,0.0,0,False
65,0.02702599999975064,0.0,0,False
66,0.027981000000181666,0.0,0,False
67,0.02875399999993533,0.0,0,False
68,0.027285000000119908,0.0,0,False
69,0.027541999999812106,0.0,0,False
70,0.028236000000106287,0.0,0,False
71,0.027466000000458735,0.0,0,False
72,0.02748799999972107,0.0,0,False
73,0.027730000000701693,0.0,0,False
74,0.02908099999967817,0.0,0,False
75,0.027506000000357744,0.0,0,False
76,0.027884999999514548,0.0,0,False
77,0.027764000000388478,0.0,0,False
78,0.027434999999968568,0.0,0,False
79,0.02751099999932194,0.0,0,False
80,0.02757999999994354,0.0,0,False
81,0.027744999999413267,0.0,0,False
82,0.0287689999995564,0.0,0,False
83,0.02930000000014843,0.0,0,False
84,0.028215000000272994,0.0,0,False
85,0.027299999999740976,0.0,0,False
86,0.02719600000000355,0.0,0,False
87,0.028418999999303196,0.0,0,False
88,0.028102999999646272,0.0,0,False
89,0.029523999999582884,0.0,0,False
90,0.028906000000461063,0.0,0,False
91,0.029384000000391097,0.0,0,False
92,0.028016000000206986,0.0,0,False
93,0.028773000000001048,0.0,0,False
94,0.029192999999395397,0.0,0,False
