,0,1,2,3,4,5,6,7,8,9
2,0.43468762013346873,0.3932361170231425,0.4000461212116965,0.3986520228179564,0.5472829721829039,0.1922951259765363,0.4488825204967869,0.26212899681526436,0.3139125787051132,0.31440506320348505
3,0.46234966786336834,0.4145038362519818,0.4755931146252584,0.4563531966396723,0.6525752813539488,0.4696911543864264,0.4719143735879809,0.40037584768050993,0.34497168829970803,0.4935990015642757
4,0.5108476721665322,0.4991181036579364,0.5349328022671938,0.5389393746973875,0.6778749103927187,0.519020876697617,0.5221338849164586,0.5010253082944064,0.4590649272784443,0.5420060354694618
5,0.49374723077417687,0.5608793806738626,0.5202916070429425,0.4953626859608067,0.6834213045578239,0.5305313591146128,0.5851670814024625,0.5325368373202407,0.6431262588470058,0.581714989265014
6,0.6015349890121217,0.6198202145803223,0.5241216397031124,0.6181327823714309,0.7191873231136813,0.5882425235629584,0.6621304606380123,0.5652916005888093,0.6840942837893135,0.6242341424679765
7,0.5926767326547232,0.6561311584160963,0.6149226014843692,0.69678965538692,0.7543630888184693,0.6308767881065795,0.6583809382401894,0.6623047453000889,0.699236454699072,0.6327736807322414
8,0.6113550932755969,0.7173596271332291,0.6456678426209929,0.6572633906548313,0.7687237321339274,0.6419180021235115,0.681563997630127,0.701844609173464,0.7205767790011168,0.6455240443989332
9,0.6835490479934536,0.7070937637266862,0.6308142243695716,0.7083996358129024,0.7795048344851747,0.7257571407786699,0.6867998633780437,0.7520252911732771,0.7421104882816834,0.6272575022953275
10,0.6925917103214412,0.7598063733354176,0.6754147182464892,0.675033540645171,0.7983443512492326,0.749704918530741,0.690825037644593,0.7460240977298298,0.7571650840184306,0.6809186254705066
15,0.8092371794837243,0.804701617518765,0.7874426758193733,0.7516734247918518,0.8604723004036396,0.8105548715087791,0.7913804859672843,0.8150174561795059,0.826230209667454,0.7932792184862105
20,0.8403464029704034,0.8364378420174279,0.8283196223293491,0.8215010202784204,0.8818608293616874,0.8529839426527336,0.8415998467335137,0.8589811020944376,0.844426147712975,0.8522689992257545
25,0.8717828203348218,0.8673769422320488,0.8611458840854235,0.8470594913604291,0.9041400528211043,0.8892479438491441,0.8843131604086601,0.863455769624849,0.8668840454785,0.8635515113206803
30,0.9115718255660066,0.887050306735541,0.8754097150387709,0.8789199174822456,0.9121282782817015,0.9054257407133526,0.9023090325474995,0.8912152389503992,0.882058724516391,0.8886909829843468
35,0.9145383256277969,0.8991009724729137,0.8757281252156398,0.897060821023207,0.924106130511535,0.906887454811229,0.9080868838018177,0.9065795259975479,0.9071672368923073,0.8945554249531521
40,0.9249839671764948,0.9115200328883993,0.8779635155821272,0.8871987766060178,0.9215749095580933,0.9175116412470836,0.9186046874774352,0.9262695695219644,0.9158861958856529,0.9121320751853808
45,0.9409103527073013,0.9196345463974699,0.9101875015934608,0.919334106685937,0.9399198102149828,0.9289203024450285,0.9324499563583976,0.9293309009366449,0.9266904341294543,0.9178810774228929
50,0.9474845043882205,0.9318749707135159,0.9188819851576947,0.9004281678328487,0.9317667004223067,0.9264425998692889,0.9412927223345492,0.9344387545972829,0.9228517949750439,0.9138656908768297
55,0.9472772039856937,0.9271514102805052,0.926546473422001,0.9075821518234135,0.9397352078368154,0.936136389073816,0.9432892231686316,0.9377567648996817,0.9210922771759357,0.9241288546609089
60,0.9567347432071036,0.939640218714422,0.9348203988470595,0.9281318800623436,0.9539335717289514,0.9342212712501404,0.9425106329738575,0.9389096103044143,0.9243694602982119,0.9295759552109014
