,0,1,2,3,4,5,6,7,8,9
2,0.9798366190372744,0.9797831253693445,0.9800599604200503,0.9798113059400474,0.9792403674443863,0.9784965252851098,0.9782082358568511,0.98114886416211,0.9802825958628173,0.9816564132885587
3,0.9685469309548695,0.9710856092535504,0.9703520482565317,0.9717509175412984,0.971571596898998,0.9698684776109272,0.970337518388327,0.9699734760745683,0.9710932522535654,0.9685193806246962
4,0.9598081859844094,0.9598476949730919,0.9608967271381708,0.9600837151250803,0.9598136026617317,0.9596858196587782,0.960881118941781,0.9596501589489379,0.9634143908813831,0.9628861194220112
5,0.9489530039884392,0.949712410111192,0.9468993637266175,0.9477684674718809,0.9498541057622847,0.9492397916386368,0.9516903664530714,0.9518693605031598,0.9501676959446748,0.9493308074973152
6,0.941664396787263,0.9379293281246933,0.9370796134403717,0.9408568840815732,0.939595427606223,0.9406734532783834,0.9391556229649821,0.9380859240779802,0.9411579818104674,0.9401969717026649
7,0.9301804067221345,0.9307180298927739,0.9305009245260787,0.9290674083921792,0.9298136524455336,0.9284371981177046,0.9276997342324733,0.9334937655709191,0.9305751702678152,0.930305541770951
8,0.9205395347483815,0.9212763570399447,0.9177034275486614,0.917311010491108,0.9152284139080519,0.9223305887002806,0.9215827842025573,0.9208903493757656,0.9273975553406939,0.920923576098735
9,0.9096209918952533,0.9086060123928088,0.9048649574420019,0.9072428657120709,0.9079036080511044,0.9065791543608541,0.9112430812946845,0.9130851059450701,0.9157145498382818,0.9108705770535104
10,0.901573147884089,0.8967983538106695,0.8975604723504518,0.9016217627968875,0.9011028273381486,0.8971590802282141,0.8973762720624632,0.8980211709200995,0.9025910401400434,0.8977483262331075
15,0.848535246658564,0.8483487061928732,0.8536588438356337,0.8533347273476725,0.8472284563744319,0.8497065147205543,0.8503960843266685,0.8509627767469569,0.847745023294532,0.8548316951384582
20,0.8025558122391669,0.8035575333071173,0.8069969067994979,0.7955528014512737,0.798130948990629,0.8056820384130674,0.8003277114580191,0.7969423040597909,0.7913205686573274,0.8003429945303081
25,0.7508580481404538,0.7522185497599267,0.7483110475193524,0.7465250226475457,0.7470314398888577,0.7500237367608018,0.7535741406120282,0.751816332975686,0.7551113621960849,0.7465093814241134
30,0.6984510093206733,0.7028994135469977,0.7008537805278411,0.7000408621011992,0.7044190306428944,0.6981829189477587,0.6975183414241867,0.7042152391266162,0.696876423725732,0.7012987587262925
35,0.6470795772489087,0.6530100773491456,0.6528290361547067,0.6498982934955472,0.6422258724077953,0.6445991553558017,0.6535458539563168,0.6497941039617099,0.6442382621626219,0.6479908881027897
40,0.6017566181480323,0.5973145928777077,0.5969977461062195,0.6052686571781187,0.5943025669043116,0.5951995794669421,0.5993282454338943,0.6051157422308274,0.5974319553301303,0.5977177228414231
45,0.5456651574581404,0.5469425848970855,0.5521353107793394,0.5517269683848165,0.5493102711086647,0.5492489574981325,0.5451161951049868,0.5525934241259359,0.5562148584010703,0.5470181101029574
50,0.5047973218633066,0.5021836518157496,0.5060382948337665,0.4968630734374484,0.4989525713861532,0.4996781476935663,0.4966296200421404,0.49965697571743095,0.5023102756545567,0.5057668771545001
55,0.4448966399870575,0.4490221476769502,0.4498973814085539,0.4518677598396541,0.4524871188897288,0.45180732832764375,0.44523842009726405,0.45305060836373023,0.447204530041417,0.45558626937680785
60,0.40025227242480765,0.3961464143809342,0.40135266620119714,0.3973493423428961,0.39604819542219694,0.401689767611644,0.3984131750788595,0.3988768719928571,0.39829437870410084,0.4061492862963892
