,0,1,2,3,4,5,6,7,8,9
2,0.9514898957406553,0.9418961365503642,0.9459393928684519,0.946485445018596,0.9543222090785393,0.9477042720384946,0.9472866200268617,0.952157979669764,0.9339312202307878,0.9439009748099352
3,0.9245384016687859,0.9236789612889537,0.9242002578942801,0.9158059876809479,0.9138486581526695,0.9184806956048374,0.9080927589429882,0.9250825874652221,0.9258542674774547,0.9231337448079803
4,0.891551023964252,0.8908283515398447,0.8912408582658066,0.894427374940633,0.889298864988803,0.890033088931956,0.8879686130076104,0.8985492334774816,0.8847509667997882,0.8902536736709067
5,0.8629248694024462,0.858289840111196,0.866874450914785,0.8555002779242409,0.8622624782098954,0.8601521246634389,0.8780099212621013,0.8777851013717168,0.8540880647618552,0.8735621640592317
6,0.8314906382741024,0.8504848936019205,0.8339933726606449,0.8444521475163396,0.8421119465292224,0.8374458521773446,0.830480722301891,0.8507771144854939,0.8243112173575489,0.8436201709511942
7,0.8089440728827267,0.8108638053040244,0.8093678353936768,0.8127592264841951,0.8016030710287142,0.8159173786508098,0.8054597046480461,0.8005413009976904,0.80497370477967,0.8170560788146543
8,0.7858608117399491,0.7937629896345658,0.7857615540406689,0.7829969463583083,0.7721040116010158,0.7851353802297434,0.767880423443173,0.7689622281238815,0.7914070275295585,0.7909390573652546
9,0.7529212415579606,0.760531880001532,0.7592960190364378,0.7599491592463895,0.750259300476084,0.7631403721115947,0.7597778501116147,0.7709590552797125,0.7576289154060958,0.7521547554288572
10,0.7272024207509533,0.7323542644871139,0.740272148885979,0.7315328889013426,0.7148218664200208,0.7285526974822978,0.7225707728044184,0.7500663475665116,0.722075483823192,0.7193552900219977
15,0.5881536896162125,0.5713136018966419,0.5912677704592568,0.5793246243152059,0.5744403465259117,0.5967578821857109,0.5849433392888707,0.6162670883804581,0.5852443806216168,0.5784534101450465
20,0.4450327371439735,0.4670418575466258,0.4514830175438144,0.4618190214911586,0.4502107290528346,0.4592384927715109,0.44042360166004324,0.45508698716123097,0.4613407907019798,0.46597575987353645
25,0.31429738204148694,0.32908442275003896,0.3236563629178059,0.3219946493172107,0.3215129412604306,0.3333960416326115,0.3309520918401904,0.3321421004951652,0.32798815095268335,0.31950274629075387
30,0.18552423650019656,0.1899008310298178,0.19199335155808805,0.1852337564439771,0.19500931941363212,0.19697266053436216,0.20166134641486033,0.1925965561923453,0.19721897049670958,0.19905918786814678
35,0.051423164638277175,0.061486722607362515,0.05259983305180598,0.05279318584803699,0.052626623750763615,0.05855386107469864,0.049863957134556346,0.04602368046335028,0.05320913090761833,0.0563477567650972
40,0.02702702702702899,1.3803542901082608e-29,8.072903084794444e-29,2.546251640733115e-29,1.5127184508013794e-29,1.5281883570068638e-29,2.16461650856698e-29,1.8056212287923508e-29,1.41113167510731e-29,9.929910452987395e-30
45,9.225340150166549e-30,5.555569679612509e-30,8.150320992714114e-30,1.1538109076822985e-29,8.673135823913561e-30,8.094873501037453e-30,7.314417686064883e-30,5.9263308471332194e-30,1.0379669547796047e-29,1.0308316879042174e-29
50,3.516858317971668e-30,7.772644781022071e-30,6.438695826413346e-30,3.688903426754625e-30,4.431485491212136e-30,6.94527921154682e-30,1.0051598788193729e-29,9.639864476799427e-30,4.069555559439742e-30,4.625246163497413e-30
55,4.002833484807474e-30,6.2278892366863684e-30,6.969701573883907e-30,4.041898225172811e-30,4.398536354595094e-30,4.1849674619492255e-30,4.987122493846854e-30,3.397459630748066e-30,4.59687379456665e-30,3.689421135146568e-30
60,4.307601106881509e-30,6.2764984152193e-30,4.012852044473595e-30,6.703826286009892e-30,9.282433932538871e-30,3.51733895093579e-30,6.483366750754029e-30,6.731444703213505e-30,5.810580899909922e-30,6.105606258340874e-30
